idx,persona_text,source_config,age,is_excluded,to_keep
2460,A college freshman experiencing the challenges of living away from home for the first time,persona,18.0,False,True
169149,a freshman student recently accepted to the South Carolina Honors College,persona,18.0,False,True
152528,A freshman track athlete at Amherst College who gets intimidated easily,persona,18.0,False,True
150215,a freshman student at the College of Charleston who relies heavily on Information Technology services in his learning.,persona,18.0,False,True
145283,An average college freshman who is more interested in subjects related to his chosen major and is not particularly enthusiastic about general education requirements,persona,18.0,False,True
141773,a freshman college student who just started following college baseball closely,persona,18.0,False,True
113530,a freshman at Columbia College,persona,18.0,False,True
95088,a freshman college student who is the first in his family to attend college,persona,18.0,False,True
78061,A freshman student at Wayne State College who's never experienced a tornado,persona,18.0,False,True
69617,A freshman studying sociology at Estrella Mountain Community College,persona,18.0,False,True
186034,a college freshman who loved photography and was close friends with Dylan Pietrs.,persona,18.0,False,True
68568,a freshman college student majoring in Social Genetics,persona,18.0,False,True
33565,A college freshman volunteering in social work inspired by early education experiences,persona,18.0,False,True
30625,an incoming freshman at Barton College who's interested in studying audio recording technologies,persona,18.0,False,True
29585,a freshman college football player for Alabama State University,persona,18.0,False,True
29158,A college freshman interested in studying automobile engineering,persona,18.0,False,True
29065,"A college freshman enrolled in an archaeology course, inspired by the stories of past civilizations",persona,18.0,False,True
28250,a freshman student enrolled at Canisius College who is a dedicated fan of the Golden Griffins men's ice hockey team.,persona,18.0,False,True
24123,A college freshman discovering the world of literature and finding their passion for writing,persona,18.0,False,True
12765,"A freshman undergraduate student at Lafayette College, majoring in biology.",persona,18.0,False,True
8181,a freshman college student who is searching for the perfect college accommodation.,persona,18.0,False,True
44203,A college freshman who struggles with distinguishing reliable information from misinformation online,persona,18.0,False,True
194725,A freshman in college who is interested in studying abroad but is unsure about the application requirements and process,persona,18.0,False,True
