idx,persona_text,source_config,age,is_excluded
113455,A cheerful and outgoing child who befriends the shy preschooler and helps them feel more comfortable,persona,3.0,False
143476,A preschooler who loves being read to and discusses the pictures in the books,persona,3.0,False
83839,A shy and anxious preschooler who is struggling with separation anxiety,persona,3.0,False
21075,A curious and energetic preschooler who loves participating in gym class activities,persona,3.0,False
199408,A preschooler who shows a natural inclination towards music and has a strong interest in learning the violin,persona,3.0,False
20940,A 3-year-old child who struggles with articulation and speech sound production,persona,3.0,False
114691,A kindergartener who enjoys stories about knights and castles,persona,5.0,False
69618,A 5-year-old child who shares their enthusiasm for bugs and loves catching them in the garden,persona,5.0,False
190020,Inquisitive 5 year old child,persona,5.0,False
111764,A quiet 5-year-old child who has just discovered the magic of picture books,persona,5.0,False
170391,a 5-year-old child who loves to watch cooking shows and pretend to be a chef.,persona,5.0,False
107127,A 5-year-old child who was born with a cleft lip and palate and is undergoing speech therapy to improve his articulation,persona,5.0,False
87721,A 6-year-old child with anxiety and social communication difficulties,persona,6.0,False
94395,A 6-year-old child with a curious mind and a willingness to participate in cognitive development studies,persona,6.0,False
103514,A 6-year-old child who experienced a traumatic event and is in need of therapy,persona,6.0,False
114126,A 7-year-old kid excited about meeting the Governor,persona,7.0,False
175696,A curious 7-year-old who loves reading and immerses herself in the vibrant world of picture books,persona,7.0,False
87051,An eager 7-year old boy who enjoys reading more than playing video games,persona,7.0,False
163845,A primary school student who serves as the first reader and critic of every new book,persona,8.0,False
150806,A 3rd grade biology enthusiast,persona,8.0,False
181586,A primary school student who eagerly provides input and suggestions for story development,persona,8.0,False
188138,A curious primary school student from France.,persona,8.0,False
76805,A primary school student who loves learning new healthy recipes to cook at home,persona,8.0,False
59699,An 8-year-old Sudanese child who received healthcare from the EMERGENCY Peadiatric Clinic in Port Sudan.,persona,8.0,False
150937,An 8-year-old child who is excited to learn skiing for the first time,persona,8.0,False
135409,A timid 8-year-old child who is afraid of the water but eager to learn swimming,persona,8.0,False
31680,A 9-year-old child who requires multiple orthopedic surgeries due to a congenital condition,persona,9.0,False
120494,A9-year-old child who greatly enjoys the storytelling events and wants to become a writer,persona,9.0,False
11554,A 10-year-old child with autism spectrum disorder who benefits from occupational therapy to improve their motor skills,persona,10.0,False
106533,A creative and imaginative fifth grader who loves to help design and decorate the reading spaces,persona,10.0,False
153886,A 10-year-old book lover who inspired to write their own children's story,persona,10.0,False
94388,"A 10-year-old, dinosaur-obsessed kid",persona,10.0,False
91607,a 10-year-old kid who has learned little programming,persona,10.0,False
175507,A 10-year-old child who struggles with reading and has a low interest in books,persona,10.0,False
14152,An Indian expatriate working in Bangkok with a 10-year-old child.,persona,10.0,False
176146,"A bright, curious 5th grader with an interest in women’s rights movements",persona,10.0,False
179253,A 10-year-old child who actively participates in school debates and is learning the importance of peaceful conflict resolution,persona,10.0,False
81949,A motivated 5th grader with a keen interest in computer games and often helps peers with math problems,persona,10.0,False
183033,A curious and engaged 5th grader who loves hearing stories about historical figures,persona,10.0,False
76888,A curious and inventive 5th grader who develops a passion for electronics and communication,persona,10.0,False
373,A 10-year-old schoolboy who lives in Nigeria,persona,10.0,False
188617,An 11-year-old kid who can't get enough of the 'Phoebe and Her Unicorn' series.,persona,11.0,False
137880,An 11-year-old child obsessed with astronomy,persona,11.0,False
