idx,persona_text,source_config,age,is_excluded
72261,a 15-year-old high school student who loves anime more than anything else,persona,15.0,False
60472,a 15-year-old high school student who loves world geography and curious about different cultures,persona,15.0,False
10701,A highly motivated student council president who is inspired by classic literature to write speeches,persona,15.0,False
165708,A highly decorated Navy officer who now mentors young cadets at the military academy,persona,15.0,False
85615,A drama club president studying in senior high,persona,15.0,False
161943,"A 15-year-old high school student interested in STEM, planning to attend university for a degree in computer science",persona,15.0,False
49496,a 15 year old male high school student.,persona,15.0,False
123807,A dedicated high school advisor who helps students explore careers in linguistics and international relations,persona,16.0,False
130279,An eager high school student balancing his love for high jump with his academics,persona,16.0,False
130447,A high school student organizing a food drive to help alleviate hunger in their community,persona,16.0,False
130545,A Danish high school student who is a big fan of Hans Christian Andersen.,persona,16.0,False
130652,An ardent fan of Sonia Citron who has followed her basketball career since high school.,persona,16.0,False
130823,I'm a senior high school student who's been studying full-time online due to the pandemic and enjoys the more relaxed learning atmosphere at home.,persona,16.0,False
131321,A high school student who loves animals and spends weekends helping out at the shelter,persona,16.0,False
131545,a high school student who needs to research this topic for her biology class presentation,persona,16.0,False
131758,A high school guidance counsellor always encouraging students to give back to their community,persona,16.0,False
131880,A high school student who is passionate about both biology and music and aims to pursue a career that combines both,persona,16.0,False
132271,A diligent high school student passionate about trigonometry and captivated by annual Civil War reenactments,persona,16.0,False
123489,"a Greenup County local, who knew Patricia Gabriel from high school and kept in touch through the years.",persona,16.0,False
132276,a high school teenager who loves hip-hop music and respects its pioneers but dislikes overly elaborate language.,persona,16.0,False
123391,a high school senior located in New Jersey considering multiple design schools across the U.S. and is passionate about 3D modeling.,persona,16.0,False
132292,A high school student who is introduced to Mark Twain's works through the librarian's discussions,persona,16.0,False
132826,A group of high school students organizing a fundraising event to support disaster relief efforts,persona,16.0,False
123262,a high school girl who adores Ashley Jermaine and dreams of becoming a model,persona,16.0,False
133417,A teenager who recently won a gold medal in a high school track and field competition,persona,16.0,False
133659,A curious and eager high school student interested in learning the trade of electrical work,persona,16.0,False
134178,a hardcore fan of Lebanon High School football team,persona,16.0,False
134191,A high school student with a passion for engineering seeking advice on pursuing a career in metrology,persona,16.0,False
