idx,persona_text,age,source_config,is_excluded,llm_label,llm_confidence,llm_reason
151298,A high school student who dreams of embarking on epic adventures but is limited by their age and resources,16,persona,False,yes,100,Persona explicitly describes themselves as a high school student
60945,A high school student who is curious about military life and seeks to learn about their experiences in the army,16,persona,False,yes,100,Persona explicitly describes themselves as a high school student
127464,An ambitious high school student aiming to study at MIT's Aerophysics program,16,persona,False,yes,100,Explicitly described as a high school student
176055,A high school student who struggled with reading comprehension and found solace in art,16,persona,False,yes,100,Persona explicitly describes themselves as a high school student
198559,A high school student who designs DIY terrariums and sells them online for a social cause,16,persona,False,yes,100,Persona explicitly describes themselves as a high school student
62563,"A fellow high school athlete with a similar dream of playing for Mississippi State, creating a competitive yet supportive relationship",16,persona,False,yes,100,Persona is explicitly described as a high school athlete
107894,A high school senior trying to decide between pursuing a medical career or becoming a professional musician,16,persona,False,yes,100,Persona is explicitly described as a high school senior
173120,A high school student who assists with the production of the gardening show and aspires to become a horticulturalist,16,persona,False,yes,100,Persona is explicitly described as a high school student
58394,"A high school student with a passion for STEM subjects, relying on the librarian's expertise for guidance on technical books",16,persona,False,yes,100,Explicitly described as a high school student
138276,A high school student obsessed with geography and dreamt of being a culinary critic,16,persona,False,yes,100,Persona is explicitly described as a high school student
111446,A high school student searching for information to complete a report on Arunachal Pradesh's governance,16,persona,False,yes,100,Persona is explicitly described as a high school student
92985,A 17-year-old female high schooler who doesn't like violent aspects in video games.,17,persona,False,yes,100,Persona is explicitly described as a 17-year-old high schooler
38124,A curious high school biology student from the Charters Towers Region,16,persona,False,yes,100,Persona explicitly describes themselves as a high school student
76699,A basketball player from La Cañada High School who strives to outperform their sibling in every game,16,persona,False,yes,100,Persona is described as being from La Cañada High School
153286,High school football player and underwear enthusiast,16,persona,False,yes,95,high school football player indicates current high school attendance
55626,A high school student who has transformed their bedroom into a home gym and shares workout routines with their classmates,16,persona,False,yes,100,Persona is explicitly described as a high school student
41781,A high school student who dreams of one day walking on the moon,16,persona,False,yes,100,Persona explicitly describes themselves as a high school student
193615,a high school student in Grandview who wants a part-time job,16,persona,False,yes,100,explicitly described as a high school student
49496,a 15 year old male high school student.,15,persona,False,yes,100,Persona is explicitly described as a 15 year old high school student
32233,A high school student who dreams of becoming an automotive journalist,16,persona,False,yes,100,Persona explicitly describes themselves as a high school student
103152,A high school student from Zambia interested in agriculture and nutrition.,16,persona,False,yes,100,Persona is explicitly described as a high school student
119118,A high school track and field star recovering from a career-threatening injury,16,persona,False,yes,100,Persona is described as a high school track and field star
34966,a Russian high school student who is interested in psychology and history,16,persona,False,yes,100,explicitly described as a high school student
76373,A high school student using the YouTube channel as a supplemental resource to improve their math skills,16,persona,False,yes,100,Persona explicitly describes themselves as a high school student
7200,A high school classmate of Martin Long who is not involved in the religious sector but respects Martin’s accomplishments.,16,persona,False,yes,100,Persona is described as a high school classmate
192915,A sophomore in high school preparing for the SAT test,16,persona,False,yes,100,Explicitly mentioned as a high school student
141823,"A high school student passionate about theatre, often uses grandparent's documents as inspiration for plays",16,persona,False,yes,100,Persona explicitly describes themselves as a high school student
35079,A camera operator always looking for the perfect shot during high school matches,16,persona,False,yes,90,high school matches implies the persona is likely a student participating in or closely associated with a high school
11926,A high school student who admires the content creator's visually appealing infographics and shares them with friends,16,persona,False,yes,100,Persona explicitly describes themselves as a high school student
20547,A Czech high school student interested in history and music,16,persona,False,yes,100,Persona is explicitly described as a high school student
156804,A high school lacrosse player looking for mentorship and advice on balancing sports and academics,16,persona,False,yes,100,Persona explicitly describes themselves as a high school student
60195,a high school female rugby player who looks up to Rochelle Tamarua,16,persona,False,yes,100,Persona is explicitly described as a high school student
136597,"A high school student with dreams of becoming a marine archaeologist, inspired by Robert Kurson's 'Shadow Divers'",16,persona,False,yes,100,Persona explicitly describes themselves as a high school student
118868,"A high school student trying to balance work and studies, who appreciates the manager's understanding and support",16,persona,False,yes,100,Persona explicitly describes themselves as a high school student
76212,A high school student passionate about understanding the causes and consequences of World War II,16,persona,False,yes,100,Persona explicitly describes themselves as a high school student
152267,a high school women's basketball player from the competitor team of Thurgood Marshall High School,16,persona,False,yes,100,Described as a high school basketball player
172753,A high school student who is a loyal fan and watches every episode of the talk show,16,persona,False,yes,100,Persona explicitly describes themselves as a high school student
