idx,regime,persona_text,subject,relation,object,num_triplets,num_unique_triplets,num_unique_subjects,num_unique_objects,num_unique_concepts,num_unique_relations,triplet_repetition_ratio,persona_num_tokens,triplets_per_100_tokens,sentiment_score,lexical_ttr,lexical_avg_word_len,graph_num_nodes,graph_num_edges,graph_avg_degree,graph_density,graph_num_components,graph_largest_component_size,graph_largest_component_ratio
2,primary,I am a curious elementary school student who has just learned about millipedes in science class and is fascinated by all kinds of bugs.,knight; princess; princess; princess; princess; knight; knight; princess; knight; knight; princess; knight; knight; princess; princess; princess,protects; is; is; lives_in; married; is; is; thanks; wears; attended; lives_in; lives_in; saved; attended; is; is,kingdom; happy; thankful; kingdom; knight; happy; kind; knight; armor; wedding; castle; castle; princess; wedding; generous; educated,16,16,2,11,11,8,0.0,24,66.66666666666666,0.0,1.0,4.625,11,16,2.5454545454545454,0.2909090909090909,1,11,1.0
3,primary,An elementary school student who looks forward to watching the weather report every day,princess; princess; knight; princess; princess; princess; princess; knight; princess; princess; knight; princess; knight; wedding; knight; knight; knight; knight; princess; princess; princess; knight; knight; knight; princess; knight; knight,had_a; thanked; is; is; is; shows; lives_in; had_a; rules; married; is; appeared_in; is; involves; is_interested_in; was_thanked_by; defends; married; got_married_at; lives_in; is; got_married_at; lives_in; receives; is; is; is,wedding; knight; brave; happy; thankful; gratitude; kingdom; wedding; kingdom; knight; happy; story; noble; princess; princess; princess; kingdom; princess; castle; castle; appreciative; castle; kingdom; gratitude; loyal; loyal; generous,27,27,3,14,14,14,0.0,14,192.85714285714286,0.0,1.0,5.285714285714286,14,27,2.7142857142857144,0.2967032967032967,1,14,1.0
5,primary,A curious elementary school student who looks forward to meeting the author and asking questions about their books,princess; princess; knight; princess; knight; princess; princess; knight; knight; armor; princess; knight; knight; princess; knight; knight; knight; princess,is; is; married; attended; protects; is; married; attended; experiences; gets_scorched_by; thanked; is; was_thanked_by; lives_in; is; protects; freed; was_freed_by,young; thankful; princess; wedding; kingdom; happy; knight; wedding; battle; fire; knight; curious; princess; castle; loyal; castle; princess; knight,18,18,3,12,13,11,0.0,18,100.0,0.0,1.0,5.388888888888889,13,18,2.0,0.23076923076923078,2,11,0.8461538461538461
6,primary,A curious elementary school student in need of help with math and science homework,knight; princess; knight; knight; knight; princess; princess; princess; princess; princess; knight; knight; knight; princess; knight; dragon; knight; princess; knight; princess; knight,attends; is; is_thanked_by; protects; rides; is; is; is; married; thanks; is; wears; meets; lives_in; lives_in; is; lives_in; attends; is; has; joins,wedding; grateful; princess; kingdom; horse; happy; thankful; noble; knight; knight; noble; armor; king; castle; kingdom; enemy; castle; wedding; loyal; family; family,21,21,3,15,16,12,0.0,14,150.0,0.0,1.0,4.928571428571429,16,21,2.25,0.175,2,14,0.875
7,primary,A 3rd grade biology enthusiast,princess; princess; knight; knight; princess; knight; princess; knight; knight; knight; knight; princess; knight; princess,is; is; is; protects; married; defends; attends; rides; is; follows; is; lives_in; attends; thanks,thankful; loving; noble; kingdom; knight; castle; wedding; horse; brave; guide; curious; castle; wedding; knight,14,14,2,11,12,9,0.0,5,280.0,0.0,1.0,5.2,12,14,2.1666666666666665,0.21212121212121213,1,12,1.0
8,primary,A primary school student who eagerly provides input and suggestions for story development,princess; knight; princess; princess; knight; princess; knight; knight; knight; knight; knight; princess; princess; knight; princess; princess; princess,is; celebrates; is; married; is; is_defended_by; uses; is; fights_on; rides; is; gets_married_at; lives_in; gets_married_at; celebrates; thanks; is_saved_by,thankful; wedding; happy; knight; happy; knight; magic; experienced; battlefield; horse; brave; castle; castle; castle; wedding; knight; knight,17,17,2,10,11,11,0.0,13,130.76923076923077,0.0,1.0,5.923076923076923,11,17,2.3636363636363638,0.3090909090909091,1,11,1.0
9,primary,A 10-year-old child with autism spectrum disorder who benefits from occupational therapy to improve their motor skills,princess; knight; princess; knight; princess; princess; knight; princess; princess; princess; princess; knight; knight; knight; princess; knight; princess; knight; knight; knight; knight; princess; knight; princess; princess; knight; knight,is; is; is; is; attends; is; freed; married; is; thanks; is; is; is; is; is_in; participates_in; was_freed_by; married; is; fought_for; is; was_saved_by; saved; is; is; is; rescued,grateful; husband; caring; brave; celebration; thankful; princess; knight; loving; knight; married; noble; daring; loving; country; celebration; knight; princess; caring; death; married; knight; princess; generous; wife; loyal; princess,27,27,2,17,17,12,0.0,17,158.8235294117647,0.0,1.0,5.2631578947368425,17,27,2.3529411764705883,0.19852941176470587,1,17,1.0
11,primary,A 6-year-old child who experienced a traumatic event and is in need of therapy,princess; knight; princess; princess; knight; knight; armor; princess; princess; knight; princess; knight,is; married; married; is; performs; visits; suffers; is_known_by; is; freed; thanks; enters,thankful; princess; knight; free; rescue; village; damage; knight; grateful; princess; knight; castle,12,12,3,9,10,9,0.0,14,85.71428571428571,0.0,0.9375,3.9375,10,12,1.6,0.26666666666666666,2,8,0.8
12,primary,A quiet 5-year-old child who has just discovered the magic of picture books,knight; princess; knight; princess; princess; princess; knight; princess; princess,rides; is; freed; married; thanks; appeared_in; uses; lives_in; holds,horse; thankful; princess; knight; knight; story; sword; castle; magic_wand,9,9,2,8,8,9,0.0,13,69.23076923076923,0.0,1.0,4.066666666666666,8,9,1.75,0.32142857142857145,1,8,1.0
13,primary,A group of elementary school students whose behaviors and academic performance are observed in different classroom setups,knight; princess; princess; princess; knight; princess; princess; dragon; princess; dragon; knight; princess; dragon; knight; princess,had; is; is; married; is; thanks; got_married_at; kidnapped; invited; fought_for; got_married_at; lives_in; attacks; invited; had,wedding; happy; thankful; knight; happy; knight; castle; princess; guests; life; castle; castle; castle; guests; wedding,15,15,3,8,9,10,0.0,17,88.23529411764706,0.0,1.0,6.176470588235294,9,15,2.888888888888889,0.4166666666666667,1,9,1.0
14,primary,A 7-year-old kid excited about meeting the Governor,princess; knight; princess; princess; knight; princess; princess; knight; knight; princess; knight; knight; knight; princess; knight; princess; knight; knight,is; is_thanked_by; is; is; freed; married; thanks; married; is; was_freed_by; attended; defends; fought_for; lives_in; experiences; attended; is; visits,grateful; princess; happy; thankful; princess; knight; knight; princess; dangerous; knight; wedding; castle; death; castle; battle; wedding; loyal; castle,18,18,2,11,11,12,0.0,8,225.0,0.1,1.0,4.2,11,18,2.1818181818181817,0.32727272727272727,1,11,1.0
15,primary,An 8-year-old child who is excited to learn skiing for the first time,knight; princess; princess; knight; princess; princess; princess; princess; knight; knight; princess; wedding; dragon; princess; knight; knight; castle,attends; is; is; protects; is; is; married; thanks; is_attacked_by; married; lives_in; is; attacks; attends; serves; is; is,wedding; grateful; young; castle; happy; thankful; knight; knight; dragon; princess; castle; beautiful; castle; wedding; royal family; loyal; beautiful,17,17,5,12,12,9,0.0,13,130.76923076923077,0.06666666666666667,1.0,3.6666666666666665,12,17,2.5,0.25757575757575757,1,12,1.0
16,primary,A 10-year-old book lover who inspired to write their own children's story,princess; knight; princess; princess; knight; princess; dragon; knight; princess; princess; knight; knight; princess,is; is; is_daughter_of; married; is; is; is; is; is_daughter_of; lives_in; lives_in; interacts_with; interacts_with,thankful; kind; king; knight; adventurous; beautiful; unfamiliar; brave; queen; castle; castle; princess; knight,13,13,3,11,12,5,0.0,12,108.33333333333333,0.0,1.0,3.933333333333333,12,13,1.8333333333333333,0.19696969696969696,2,10,0.8333333333333334
17,primary,a 5-year-old child who loves to watch cooking shows and pretend to be a chef.,princess; princess; knight; princess; princess; princess; knight; princess; knight; knight; princess; princess; knight; knight; princess; princess; princess; princess; knight,is; plays_with; participates_in; is; rules; is; is; married; defends; uses; participates_in; lives_in; is; meets; is; lives_in; meets; thanks; defends,young; toys; wedding; thankful; kingdom; entertained; young; knight; castle; recipes; wedding; kitchen; chivalrous; princess; imaginative; castle; knight; knight; kingdom,19,19,2,13,13,10,0.0,15,126.66666666666666,0.0,0.8823529411764706,3.5294117647058822,13,19,2.4615384615384617,0.24358974358974358,1,13,1.0
18,primary,A 10-year-old child who struggles with reading and has a low interest in books,knight; princess; knight; knight; princess; princess; knight; princess; knight; princess; princess; knight; princess; princess; princess; princess,rescues_from; is; is; had; married; is; is; is_child_of; is; is; is_child_of; freed; thanks; was_freed_by; is; had,castle; thankful; thankful; wedding; knight; beautiful; husband; king; loyal; devoted; queen; princess; knight; knight; wife; wedding,16,16,2,12,12,8,0.0,14,114.28571428571428,0.0,0.9375,3.9375,12,16,2.1666666666666665,0.24242424242424243,1,12,1.0
19,primary,A preschooler who shows a natural inclination towards music and has a strong interest in learning the violin,princess; princess; princess; princess; princess; knight; princess; princess; knight; knight; knight; knight; knight; princess; princess; princess; princess; dragon; knight; knight; knight,is; is; is; is; married; is; thanks; has_wedding; is; wears; receives_thanks_from; kills; defends; gets_married_at; lives_in; is; is; attacks; gets_married_at; is; has_wedding,grateful; happy; thankful; noble; knight; happy; knight; wedding; noble; armor; princess; dragon; castle; castle; castle; appreciative; beautiful; castle; castle; appreciative; wedding,21,21,3,12,12,11,0.0,18,116.66666666666667,0.0,0.8888888888888888,5.055555555555555,12,21,2.8333333333333335,0.3181818181818182,1,12,1.0
20,primary,A shy and anxious elementary school student who is afraid of needles and medical procedures,knight; knight; princess; princess; knight; princess; country; dragon; knight; princess; princess; knight; princess; princess; knight; knight,attends; is; is; is; freed; married; has; is; wants_to_marry_in; thanks; lives_in; lives_in; has; meets; is; inspires,wedding; chivalrous; thankful; happy; princess; knight; castle; fierce; castle; knight; castle; castle; wedding; student; loyal; student,16,16,4,10,12,10,0.0,15,106.66666666666667,-0.06666666666666667,0.9333333333333333,5.133333333333334,12,16,2.1666666666666665,0.24242424242424243,2,10,0.8333333333333334
21,primary,"A nature-loving elementary school student who dreams of a city filled with grass, trees, and playgrounds",knight; knight; princess; princess; princess; princess; princess; knight; knight; dragon; knight; knight; princess; princess; knight,is_thanked_by; protects; is; is; rules; married; thanks; defends; is_attacked_by; scathes; married; is; lives_in; attended; attended,princess; castle; thankful; happy; kingdom; knight; knight; kingdom; dragon; armor; princess; loving; castle; wedding; wedding,15,15,3,10,10,11,0.0,16,93.75,0.0,0.9411764705882353,5.0588235294117645,10,15,2.4,0.3333333333333333,1,10,1.0
22,primary,A elementary school student currently learning about how communication has evolved over time,princess; princess; princess; princess; princess; princess; student; student; knight; knight; knight; knight; dragon; knight; princess; knight; knight; knight; knight; knight; princess; princess; knight; knight; princess; knight,is; is; is; is_married_to; rules_over; married; is; is; is; is; visits; comes_from; kidnapped; is_interested_in; lives_in; receives; returns_to; interacts_with; hurries_after; is; shows; thanks; receives_thanks_from; defends; interacts_with; is_married_to,young; thankful; appreciative; knight; kingdom; knight; eager to learn; young; curious; strong; village; castle; princess; princess; castle; gratitude; castle; princess; dragon; educated; gratitude; knight; princess; kingdom; knight; princess,26,26,4,14,15,17,0.0,13,200.0,0.0,1.0,6.153846153846154,15,26,2.4,0.24761904761904763,1,15,1.0
23,primary,An 11-year-old kid who can't get enough of the 'Phoebe and Her Unicorn' series.,knight; knight; knight; princess; princess; knight; princess; knight; princess; princess; knight; knight; princess; knight; princess; knight; knight; knight; princess; princess; knight; princess,is; is; is; is; is; freed; married; is; is; participated_in; is; serves_in; received_rescue_from; appeared_in; lives_in; is; wants_to_free; lives_in; is_grateful_to; is; participated_in; is,husband; faithful; brave; thankful; happy; princess; knight; happy; loving; wedding; loving; kingdom; knight; story; castle; heroic; princess; castle; knight; wife; wedding; faithful,22,22,2,14,14,10,0.0,14,157.14285714285714,0.0,1.0,3.5294117647058822,14,22,2.5714285714285716,0.24175824175824176,1,14,1.0
24,primary,A 5-year-old child who shares their enthusiasm for bugs and loves catching them in the garden,princess; knight; princess; princess; princess; knight; princess; dragon; knight; knight; knight; princess; knight,is; is; is; is; married; defends; thanks; kidnapped; defends; wears; defends; lives_in; is,grateful; brave; thankful; kind; knight; princess; knight; princess; kingdom; armor; castle; castle; fierce,13,13,3,10,11,7,0.0,16,81.25,0.0,1.0,4.222222222222222,11,13,2.0,0.23636363636363636,1,11,1.0
25,primary,A playful elementary school student who loves outdoor activities but often forgets to wash his hands,princess; princess; knight; knight; princess; princess; knight; princess; princess; princess; knight; knight; knight; princess,is; is; is; joins; is; married; defends; attends; has; lives_in; is; attends; freed; thanks,thankful; noble; noble; family; happy; knight; castle; wedding; family; castle; loyal; wedding; princess; knight,14,14,2,9,9,9,0.0,16,87.5,0.0,1.0,5.3125,9,14,2.6666666666666665,0.3888888888888889,1,9,1.0
26,primary,a Taiwanese elementary school student who loves playing tennis and is a fan of the Chan sisters,knight; knight; princess; knight; princess; princess; knight; princess; knight; princess; dragon; knight; princess; knight; princess; knight,has; is_thanked_by; is; is; is; is; freed; married; is; thanks; kidnapped; wears; gets_married_at; gets_married_at; has; is,wedding; princess; romantic; strong; happy; thankful; princess; knight; happy; knight; princess; armor; castle; castle; wedding; loyal,16,16,3,10,11,9,0.0,17,94.11764705882352,0.0,0.9411764705882353,4.647058823529412,11,16,2.3636363636363638,0.2909090909090909,1,11,1.0
27,primary,A 9-year-old child who requires multiple orthopedic surgeries due to a congenital condition,knight; princess; princess; knight; princess; knight; princess; knight; princess; princess; knight; knight; princess; knight; knight; knight; princess; princess; knight; princess; princess; knight,attends; is; starts; is; is; starts; is; freed; is; married; is; is; thanks; defends; fights_with; fought_for; lives_in; gets_married_in; lives_in; feels; is; is,wedding; young; family; brave; thankful; family; happy; princess; noble; knight; happy; noble; knight; kingdom; dragon; death; castle; castle; castle; gratitude; generous; loyal,22,22,2,16,16,12,0.0,13,169.23076923076923,0.0,0.9333333333333333,5.133333333333334,16,22,2.375,0.18333333333333332,1,16,1.0
28,primary,A 6-year-old child with anxiety and social communication difficulties,knight; princess; knight; dragon; armor; knight; princess; princess; princess; knight; knight; princess; knight; princess; princess; princess; knight; knight; knight; princess; knight,has; is; married; is; is_scathed_by; protects; is; married; has; is; is; lives_in; attends; is; celebrates_at; thanks; receives_thanks_from; defends; is; was_freed_by; is,family; thankful; princess; mysterious; dragon; kingdom; happy; knight; family; brave; patient; castle; wedding; grateful; wedding; knight; princess; kingdom; celebrated; knight; generous,21,21,4,15,16,12,0.0,9,233.33333333333334,0.0,1.0,5.363636363636363,16,21,2.0,0.175,2,13,0.8125
29,primary,An imaginative elementary school student with a pet iguana and a love for adventure stories,knight; princess; princess; knight; princess; princess; knight; dragon; knight; princess; knight; knight; horse; princess; knight; 8-year-old,performed; is; is; helped; married; thanks; is; is_in; enters; is_related_to; fought_to_save; fought_for; is_in; lives_with; is_married_to; is,rescue; grateful; thankful; princess; knight; knight; noble; story; castle; castle; kingdom; death; country; knight; princess; young,16,16,5,12,15,12,0.0,15,106.66666666666667,0.06666666666666667,0.9333333333333333,5.133333333333334,15,16,1.6,0.1523809523809524,4,9,0.6
30,primary,An eager 7-year old boy who enjoys reading more than playing video games,princess; knight; princess; princess; knight; knight; princess; princess; knight; knight; knight; princess; knight,is; freed; married; thanks; married; fights_for; lives_in; is; undertakes; fights_for; wants_to_free; lives_with; lives_with,thankful; princess; knight; knight; princess; life; castle; beautiful; journey; princess; princess; knight; princess,13,13,2,7,7,9,0.0,13,100.0,0.0,1.0,4.214285714285714,7,13,1.7142857142857142,0.6190476190476191,1,7,1.0
31,primary,A cheerful and outgoing child who befriends the shy preschooler and helps them feel more comfortable,princess; knight; knight; princess; princess; princess; princess; princess; princess; princess; knight; knight; knight; knight; princess; knight; princess,is_freed_by; protects; participates_in; is; is; is; rules; is; married; thanks; is; married; defends; fights_for; lives_in; is; participates_in,knight; kingdom; wedding; happy; thankful; kind; kingdom; noble; knight; knight; noble; princess; castle; life; castle; loyal; wedding,17,17,2,11,11,10,0.0,16,106.25,0.0,0.9375,5.3125,11,17,2.5454545454545454,0.3090909090909091,1,11,1.0
32,primary,A preschooler who loves being read to and discusses the pictures in the books,princess; knight; princess; knight; princess; princess; knight; princess; knight; princess; knight,is; is; is; freed; married; thanks; meets; is_helped_by; fights_for; is; meets,grateful; brave; thankful; princess; knight; knight; king; knight; life; beautiful; queen,11,11,2,9,9,7,0.0,14,78.57142857142857,0.0,0.9285714285714286,4.571428571428571,9,11,1.7777777777777777,0.3055555555555556,1,9,1.0
33,primary,A shy and anxious preschooler who is struggling with separation anxiety,knight; queen; knight; knight; princess; princess; princess; princess; knight; princess; dragon; knight; princess; dragon; princess; princess; knight; princess; knight; princess; knight,has; is_mother_of; is; is; is; is; is; married; is; thanks; fights_on; is; gets_married_at; fought_for; lives_in; is; gets_married_at; has; fights_for; is_mother_of; serves,wedding; princess; brave; strong; happy; thankful; loving; knight; happy; knight; battlefield; loving; castle; life; castle; beautiful; castle; wedding; kingdom; nan; king,21,21,4,15,17,11,0.0,11,190.9090909090909,-0.09090909090909091,1.0,5.545454545454546,17,21,2.235294117647059,0.15441176470588236,2,14,0.8235294117647058
