idx,persona_text,source_config,age,is_excluded,llm_label,llm_confidence,llm_reason
3,A school basketball team captain who believes sports and their funding should be prioritized over student council campaigns,persona,,False,yes,90,team captain implies a high school setting
153,A curious high school student from Beijing who likes to play detective games and prides herself on her careful observation and logical reasoning. She is very interested in international politics and diplomacy and has a nuanced understanding of geopolitical issues from watching and reading the news.,persona,16.0,False,yes,100,Persona is explicitly described as a high school student
447,A politically engaged high school student in Ireland,persona,16.0,False,yes,100,explicitly described as a high school student
742,"A high school student volunteering at a local homeless shelter, inspired by their sibling's acts of kindness",persona,16.0,False,yes,100,Explicitly described as a high school student
779,A hardworking grade 9 student from Medicine Hat Christian School,persona,,False,yes,100,grade 9 is a high school grade level
790,A high school student aiming to follow in their grandparent's footsteps by studying library science,persona,16.0,False,yes,100,Persona is explicitly described as a high school student
863,A school debate team member constantly engaged in tech versus tradition arguments,persona,,False,yes,90,debate team member implies high school activity
1315,A high school senior who dreams of becoming a skilled welder and seeks guidance on training options,persona,16.0,False,yes,100,Persona is explicitly described as a high school senior
1365,a high school student from El Cerrito High School,persona,16.0,False,yes,100,explicitly described as a high school student
1460,a high school student who dreams of studying law and is searching for successful and outstanding lawyers to inspire and guide his career path,persona,16.0,False,yes,100,Persona explicitly describes themselves as a high school student
1472,A high school student determined to follow in their sibling's footsteps and get into Harvard,persona,16.0,False,yes,100,Explicitly described as a high school student
1522,A high school basketball player looking to learn the secrets of the game from their wise grandfather,persona,16.0,False,yes,100,Persona is explicitly described as a high school basketball player
1524,a 17-year-old high school student doing a paper for a history class,persona,17.0,False,yes,100,explicitly described as a high school student
1835,A high school senior passionate about social work and considering a career in nursing,persona,16.0,False,yes,100,Persona is described as a high school senior
2090,A high school student who excels in social studies and is preparing for a career in civil service,persona,16.0,False,yes,100,Persona explicitly describes themselves as a high school student
2397,A high school soccer star with little interest in football but a lot of love for their parent's team spirit,persona,16.0,False,yes,100,Persona is explicitly described as a high school soccer star
2631,A curious high school student from Kyrgyzstan interested in linguistics and the history of Turkic languages,persona,16.0,False,yes,100,Persona explicitly describes themselves as a high school student
2801,"a high school student in Kosrae, Federated States of Micronesia",persona,16.0,False,yes,100,explicitly described as a high school student
3190,A high school athlete who gains a deeper appreciation for biology by applying it to their favorite sport,persona,16.0,False,yes,100,Persona is explicitly described as a high school athlete
3314,A high school student interested in marketing and participating in the alumna's mentorship program,persona,16.0,False,yes,100,Persona explicitly describes themselves as a high school student
3390,A high school student who shares a passion for classic Americana and runs a locally popular rockabilly band,persona,16.0,False,yes,100,Persona is explicitly described as a high school student
4066,A high school student who is an eSports competitor and considers retro games antiquated,persona,16.0,False,yes,100,Persona explicitly describes themselves as a high school student
5151,The reigning sprint champion in a neighboring high school looking to defend his title,persona,16.0,False,yes,100,Persona is described as being in a high school
5481,a high school student who is not interested in cross country,persona,16.0,False,yes,100,explicitly described as a high school student
5753,a Vietnamese high school student who idolizes Sơn Tùng M-TP,persona,16.0,False,yes,100,explicitly described as a high school student
6144,A patient high school student who enjoys explaining technology to others and has a part-time job at a local computer repair shop,persona,16.0,False,yes,100,Persona is explicitly described as a high school student
6256,A friendly and outgoing American high school student who offers language practice and cultural immersion opportunities,persona,16.0,False,yes,100,Persona is explicitly described as a high school student
6257,A high school student who is struggling with his history studies,persona,16.0,False,yes,100,Persona explicitly describes themselves as a high school student
6472,A curious high schooler passionate about marine life and interested in learning about seagrass conservation,persona,16.0,False,yes,100,Persona explicitly describes themselves as a high schooler
6842,"A high school student interested in pursuing a career in architecture, who seeks guidance from the engineering student",persona,16.0,False,yes,100,Persona is explicitly described as a high school student
6886,A high school debate team captain passionate about social issues and largely indifferent to trends,persona,16.0,False,yes,100,Persona is explicitly described as a high school debate team captain
6935,a bored high school student who is forced to do his English assignments.,persona,16.0,False,yes,100,explicitly described as a high school student
7200,A high school classmate of Martin Long who is not involved in the religious sector but respects Martin’s accomplishments.,persona,16.0,False,yes,100,Persona is described as a high school classmate
7216,A high school student who has found solace in the YouTuber's videos and shares their personal experiences in the comments section,persona,16.0,False,yes,100,Persona explicitly describes themselves as a high school student
7370,A nephew studying coding in high school and is aspiring to become a game developer,persona,16.0,False,yes,100,currently studying in high school
7439,A high school student fascinated by artificial intelligence and eager to follow in their grandparent's footsteps,persona,16.0,False,yes,100,Explicitly described as a high school student
7667,A high school student researching scholarships and grant opportunities for college,persona,16.0,False,yes,100,Persona is explicitly described as a high school student
8043,a current high school student who struggles understanding older movie references,persona,16.0,False,yes,100,explicitly described as a current high school student
