persona_id,idx,source_config,persona_text,age_refined,llm_label,llm_confidence,llm_reason,shard_id,age_heuristic,age
persona::153,153,persona,A curious high school student from Beijing who likes to play detective games and prides herself on her careful observation and logical reasoning. She is very interested in international politics and diplomacy and has a nuanced understanding of geopolitical issues from watching and reading the news.,16,yes,100,"The persona explicitly states 'A curious high school student from Beijing', which unambiguously identifies current enrollment in high school.",0,16,16
persona::447,447,persona,A politically engaged high school student in Ireland,16,yes,100,"The persona explicitly identifies as a 'high school student' in Ireland, which satisfies the mandatory condition for current enrollment in upper secondary education.",0,16,16
persona::742,742,persona,"A high school student volunteering at a local homeless shelter, inspired by their sibling's acts of kindness",16,yes,100,"The persona explicitly states 'A high school student', which unambiguously indicates current enrollment in high school.",0,16,16
persona::790,790,persona,A high school student aiming to follow in their grandparent's footsteps by studying library science,16,yes,100,"The persona explicitly states 'A high school student', which unambiguously indicates current enrollment in high school.",0,16,16
persona::1315,1315,persona,A high school senior who dreams of becoming a skilled welder and seeks guidance on training options,16,yes,100,"The persona explicitly states 'a high school senior', which confirms current enrollment in high school / upper secondary education.",0,16,16
persona::1365,1365,persona,a high school student from El Cerrito High School,16,yes,100,"The persona explicitly states 'a high school student from El Cerrito High School', which unambiguously indicates current enrollment in high school.",0,16,16
persona::1460,1460,persona,a high school student who dreams of studying law and is searching for successful and outstanding lawyers to inspire and guide his career path,16,yes,100,"The persona explicitly states 'a high school student', which directly satisfies the mandatory condition for current enrollment in high school / upper secondary education.",0,16,16
persona::1472,1472,persona,A high school student determined to follow in their sibling's footsteps and get into Harvard,16,yes,100,"The persona explicitly states 'A high school student', which unambiguously indicates current enrollment in high school.",0,16,16
persona::1522,1522,persona,A high school basketball player looking to learn the secrets of the game from their wise grandfather,16,yes,100,"The persona explicitly identifies as a 'high school basketball player,' which indicates current enrollment in high school.",0,16,16
persona::1524,1524,persona,a 17-year-old high school student doing a paper for a history class,17,yes,100,"The persona explicitly states 'a 17-year-old high school student', which unambiguously identifies current enrollment in high school.",0,17,17
persona::1835,1835,persona,A high school senior passionate about social work and considering a career in nursing,16,yes,100,"The persona explicitly states 'a high school senior', which confirms current enrollment in high school / upper secondary education.",0,16,16
persona::2090,2090,persona,A high school student who excels in social studies and is preparing for a career in civil service,16,yes,100,"The persona explicitly states 'A high school student', which unambiguously indicates current enrollment in high school.",0,16,16
persona::2397,2397,persona,A high school soccer star with little interest in football but a lot of love for their parent's team spirit,16,yes,100,"The persona explicitly identifies as a 'high school soccer star', which directly indicates current enrollment in high school.",0,16,16
persona::2631,2631,persona,A curious high school student from Kyrgyzstan interested in linguistics and the history of Turkic languages,16,yes,100,"The persona explicitly states 'a curious high school student', which unambiguously indicates current enrollment in high school.",0,16,16
persona::2801,2801,persona,"a high school student in Kosrae, Federated States of Micronesia",16,yes,100,"The persona explicitly states 'a high school student in Kosrae, Federated States of Micronesia', which directly confirms current enrollment in high school.",0,16,16
persona::3190,3190,persona,A high school athlete who gains a deeper appreciation for biology by applying it to their favorite sport,16,yes,100,"The persona explicitly identifies as a 'high school athlete', which directly indicates current enrollment in high school.",0,16,16
persona::3314,3314,persona,A high school student interested in marketing and participating in the alumna's mentorship program,16,yes,100,"The persona explicitly states 'A high school student', which unambiguously indicates current enrollment in high school.",0,16,16
persona::3390,3390,persona,A high school student who shares a passion for classic Americana and runs a locally popular rockabilly band,16,yes,100,"The persona explicitly states 'A high school student', which unambiguously satisfies the mandatory condition for current enrollment in high school / upper secondary education.",0,16,16
persona::4066,4066,persona,A high school student who is an eSports competitor and considers retro games antiquated,16,yes,100,"The persona explicitly states 'A high school student', which unambiguously indicates current enrollment in high school.",0,16,16
persona::5151,5151,persona,The reigning sprint champion in a neighboring high school looking to defend his title,16,yes,100,"The persona explicitly refers to being a sprint champion in a 'neighboring high school', which indicates current enrollment in high school.",0,16,16
persona::5481,5481,persona,a high school student who is not interested in cross country,16,yes,100,The persona explicitly identifies as a 'high school student',0,16,16
persona::5753,5753,persona,a Vietnamese high school student who idolizes Sơn Tùng M-TP,16,yes,100,"The persona explicitly identifies as a 'Vietnamese high school student', which directly satisfies the mandatory condition for current enrollment in high school / upper secondary education.",0,16,16
persona::6144,6144,persona,A patient high school student who enjoys explaining technology to others and has a part-time job at a local computer repair shop,16,yes,100,"The persona explicitly states 'A patient high school student', which unambiguously identifies current enrollment in high school.",0,16,16
persona::6256,6256,persona,A friendly and outgoing American high school student who offers language practice and cultural immersion opportunities,16,yes,100,"The persona explicitly states 'American high school student', which unambiguously indicates current enrollment in high school.",0,16,16
persona::6257,6257,persona,A high school student who is struggling with his history studies,16,yes,100,The persona explicitly identifies as a 'high school student'.,0,16,16
persona::6472,6472,persona,A curious high schooler passionate about marine life and interested in learning about seagrass conservation,16,yes,100,"The persona explicitly states 'a curious high schooler', which unambiguously identifies current enrollment in high school.",0,16,16
persona::6842,6842,persona,"A high school student interested in pursuing a career in architecture, who seeks guidance from the engineering student",16,yes,100,The persona explicitly identifies as a 'high school student'.,0,16,16
persona::6886,6886,persona,A high school debate team captain passionate about social issues and largely indifferent to trends,16,yes,100,"The persona explicitly identifies as a 'high school debate team captain', which unambiguously indicates current enrollment in high school.",0,16,16
persona::6935,6935,persona,a bored high school student who is forced to do his English assignments.,16,yes,100,"The persona explicitly identifies as a 'high school student' and mentions being forced to do English assignments, which confirms current enrollment in high school.",0,16,16
persona::7216,7216,persona,A high school student who has found solace in the YouTuber's videos and shares their personal experiences in the comments section,16,yes,100,The persona explicitly identifies as a 'high school student'.,0,16,16
persona::7370,7370,persona,A nephew studying coding in high school and is aspiring to become a game developer,16,yes,100,"The persona explicitly states 'studying coding in high school', which directly confirms current enrollment in high school.",0,16,16
persona::7439,7439,persona,A high school student fascinated by artificial intelligence and eager to follow in their grandparent's footsteps,16,yes,100,"The persona explicitly states 'A high school student', which unambiguously indicates current enrollment in high school.",0,16,16
persona::8043,8043,persona,a current high school student who struggles understanding older movie references,16,yes,100,"The persona explicitly states 'a current high school student', which unambiguously indicates current enrollment in high school.",0,16,16
persona::8412,8412,persona,A high school student struggling with remote learning and in need of extra support and guidance,16,yes,100,"The persona explicitly states 'A high school student', which unambiguously indicates current enrollment in high school.",0,16,16
persona::8622,8622,persona,"A younger sibling who is a star player for a high school football team, seeking advice on how to make it to the next level",16,yes,100,"The persona explicitly identifies as a star player for a high school football team, which implies current enrollment in high school.",0,16,16
persona::8843,8843,persona,A high school student struggling with understanding Newton's laws of motion,16,yes,100,The persona explicitly identifies as a 'high school student'.,0,16,16
persona::9146,9146,persona,A high school student starting to face the challenges of peer influence,16,yes,100,"The persona explicitly states 'A high school student', which unambiguously indicates current enrollment in high school.",0,16,16
persona::9274,9274,persona,A high school student seeking guidance on career paths in the field of mental health,16,yes,100,The persona explicitly identifies as a 'high school student' seeking guidance on career paths.,0,16,16
persona::9406,9406,persona,"A mature high schooler with a lot of responsibility, working part-time in his aunt's beauty salon after school and on weekends.",16,yes,100,"The persona explicitly states 'a mature high schooler', which unambiguously identifies current enrollment in high school.",0,16,16
persona::9411,9411,persona,A high school senior participating in a project-based learning program that integrates multiple subjects,16,yes,100,"The persona explicitly states 'a high school senior', which confirms current enrollment in high school / upper secondary education.",0,16,16
persona::9519,9519,persona,A Nigerian high school student interested in debating and aspiring to represent Nigeria at an international level.,16,yes,100,"The persona explicitly states 'A Nigerian high school student', which unambiguously indicates current enrollment in high school.",0,16,16
persona::9684,9684,persona,a Vietnamese American high school student who loves cinema,16,yes,100,The persona explicitly identifies as a 'high school student'.,0,16,16
persona::9781,9781,persona,"A high school student who relies on their grandmother's resources for school project, with a soft spot for mythology",16,yes,100,"The persona explicitly states 'A high school student', which unambiguously indicates current enrollment in high school.",0,16,16
persona::9840,9840,persona,A high school student interested in social sciences and seeking guidance on how to get involved in activism,16,yes,100,"The persona explicitly states 'A high school student', which unambiguously indicates current enrollment in high school.",0,16,16
persona::10286,10286,persona,A high school student eagerly awaiting their turn to attend the same HBCU and follow in their sibling's footsteps,16,yes,100,"The persona explicitly states 'A high school student', which unambiguously indicates current enrollment in high school.",0,16,16
persona::10379,10379,persona,"A curious high school student, passionate about philosophy, who just stumbled upon the name Enrico Berti.",16,yes,100,"The persona explicitly states 'A curious high school student', which unambiguously identifies current enrollment in high school.",0,16,16
persona::10649,10649,persona,a high school student who loves clothes and is active on Instagram.,16,yes,100,The persona explicitly identifies as a 'high school student'.,0,16,16
persona::11093,11093,persona,a curious high school student who only knows the basic concepts of atomic and molecular structures and behaviors.,16,yes,100,The persona explicitly identifies as a 'high school student'.,0,16,16
persona::11102,11102,persona,"Elin Williams, a high school student interested in pursuing a career in epidemiology",16,yes,100,Elin Williams explicitly identifies as a 'high school student',0,16,16
persona::11194,11194,persona,A younger sister who is also a high school student and finds the personalized learning experience challenging and overwhelming,16,yes,100,"The persona explicitly states 'a high school student', which meets the mandatory condition for current enrollment in high school / upper secondary education.",0,16,16
persona::11248,11248,persona,A 16-year-old high school student in New Zealand who is passionate about learning the Maori culture and has been assigned to write an essay about a significant figure within it.,16,yes,100,"The persona explicitly states 'a 16-year-old high school student in New Zealand', which directly confirms current enrollment in high school / upper secondary education.",0,16,16
persona::11312,11312,persona,a conventional high school student without interest or prior knowledge in artificial intelligence,16,yes,100,"The persona explicitly identifies as a 'conventional high school student', which unambiguously indicates current enrollment in high school / upper secondary education.",0,16,16
persona::11926,11926,persona,A high school student who admires the content creator's visually appealing infographics and shares them with friends,16,yes,100,The persona explicitly identifies as a 'high school student'.,0,16,16
persona::12504,12504,persona,A high school student who is interested in pursuing a career in healthcare and wants to learn more about disease prevention,16,yes,100,"The persona explicitly states 'A high school student', which directly confirms current enrollment in high school.",0,16,16
persona::13169,13169,persona,a high school student who doesn't understand cryptocurrencies.,16,yes,100,The persona explicitly identifies as 'a high school student'.,0,16,16
persona::13555,13555,persona,A complacent high school student who never pays attention to health matters.,16,yes,100,The persona explicitly identifies as a 'high school student'.,0,16,16
persona::13613,13613,persona,A high school student interested in learning construction skills and looking up to the retired construction worker as a mentor,16,yes,100,"The persona explicitly states 'A high school student', which unambiguously indicates current enrollment in high school.",0,16,16
persona::14043,14043,persona,A high school athlete who listens to electronic music to get motivated before games,16,yes,100,"The persona explicitly identifies as a 'high school athlete', which confirms current enrollment in high school.",0,16,16
persona::14597,14597,persona,"A high school student interested in coding, seeking guidance on getting started with OpenCV",16,yes,100,The persona explicitly identifies as a 'high school student'.,0,16,16
persona::14643,14643,persona,A high school student who is torn between joining a gang for protection and pursuing education,16,yes,100,The persona explicitly identifies as a 'high school student'.,0,16,16
persona::14656,14656,persona,A high school senior who was initially disinterested in math but became motivated after experiencing the math teacher's unique teaching methods,16,yes,100,"The persona explicitly states 'a high school senior', which confirms current enrollment in high school / upper secondary education.",0,16,16
persona::14673,14673,persona,A high school student highly skilled in strategic thinking and excels in team-based multiplayer games,16,yes,100,"The persona explicitly states 'A high school student', which unambiguously indicates current enrollment in high school.",0,16,16
persona::15064,15064,persona,a high school student who barely passed biology,16,yes,100,"The persona explicitly states 'a high school student', which unambiguously indicates current enrollment in high school.",0,16,16
persona::15122,15122,persona,"A high school student with dreams of playing professional volleyball, looking for advice on training and career path",16,yes,100,"The persona explicitly states 'A high school student', which directly confirms current enrollment in high school.",0,16,16
