idx,persona_text,source_config,age,is_excluded,llm_label,llm_confidence,llm_reason
2460,A college freshman experiencing the challenges of living away from home for the first time,persona,18.0,False,yes,100,Explicitly described as a college freshman
8181,a freshman college student who is searching for the perfect college accommodation.,persona,18.0,False,yes,100,explicitly described as a freshman college student
12765,"A freshman undergraduate student at Lafayette College, majoring in biology.",persona,18.0,False,yes,100,Explicitly described as a freshman undergraduate student
13698,a freshman at the American University in Dubai who is majoring in Digital Production and Storytelling,persona,18.0,False,yes,100,Persona is explicitly described as a freshman at a university.
24123,A college freshman discovering the world of literature and finding their passion for writing,persona,18.0,False,yes,100,Persona is explicitly described as a college freshman
28250,a freshman student enrolled at Canisius College who is a dedicated fan of the Golden Griffins men's ice hockey team.,persona,18.0,False,yes,100,explicitly described as a freshman student at a college
29065,"A college freshman enrolled in an archaeology course, inspired by the stories of past civilizations",persona,18.0,False,yes,100,Persona is explicitly described as a college freshman
29158,A college freshman interested in studying automobile engineering,persona,18.0,False,yes,100,Persona is explicitly described as a college freshman
29585,a freshman college football player for Alabama State University,persona,18.0,False,yes,100,explicitly described as a freshman
30625,an incoming freshman at Barton College who's interested in studying audio recording technologies,persona,18.0,False,yes,100,Persona is described as an 'incoming freshman' at a college.
33565,A college freshman volunteering in social work inspired by early education experiences,persona,18.0,False,yes,100,explicitly described as a college freshman
38335,"A former teammate from their high school basketball team, now playing for a different university",persona,16.0,False,yes,100,playing for a university implies current university enrollment
42729,A freshman in mathematics at a university,persona,18.0,False,yes,100,Persona is explicitly described as a freshman at a university
44203,A college freshman who struggles with distinguishing reliable information from misinformation online,persona,18.0,False,yes,100,Persona is explicitly described as a college freshman
46202,a freshman at a UK university who follows fashion trends,persona,18.0,False,yes,100,explicitly described as a freshman
49350,a freshman at the University of Vermont studying Business Administration,persona,18.0,False,yes,100,explicitly described as a freshman at a university
50025,"As someone who played football in high school but decided to focus on his college education, I've retained a fondness for the beautiful game, particularly the various narratives it spawns. Football, to me, represents an intricate, global tapestry of stories, its players the weft and warp. Hence, I have a penchant for reading about lesser-known players and managers from all corners of the footballing world.",persona,16.0,False,yes,90,"Persona mentions 'college education' and implies they are currently in college, likely as a first-year student given the context."
52805,a freshman studying at Penn State Behrend university,persona,18.0,False,yes,100,explicitly described as a freshman at a university
53281,A college football player who has successfully transitioned from high school to the college level,persona,16.0,False,yes,90,"transitioned from high school to college level, implying first year"
57362,A sports broadcasting intern who is a freshman at the University of Arizona,persona,18.0,False,yes,100,Persona is explicitly described as a freshman at a university
58981,"A university freshman working part-time in the alumni office, hoping to network and learn about different career paths",persona,18.0,False,yes,100,Persona is explicitly described as a 'university freshman'
63058,An older sibling who learned about the importance of credit-building the hard way and shares their experiences and tips with the college freshman,persona,18.0,False,yes,100,The persona is explicitly described as a 'college freshman'.
68568,a freshman college student majoring in Social Genetics,persona,18.0,False,yes,100,explicitly described as a freshman college student
68717,"A freshly graduated high school student from Sikkim, who is excited and nervous about starting her undergraduate studies at Sikkim Alpine University.",persona,16.0,False,yes,100,"starting undergraduate studies, implying first year"
69617,A freshman studying sociology at Estrella Mountain Community College,persona,18.0,False,yes,100,Explicitly described as a freshman at a community college
72382,a freshman in university who is passionate about fencing and is planning to participate in future World Fencing Championship,persona,18.0,False,yes,100,Persona is explicitly described as a freshman in university
78061,A freshman student at Wayne State College who's never experienced a tornado,persona,18.0,False,yes,100,Explicitly described as a freshman student at a college
82428,"a recent graduate of Woodbridge High School, now studying at university",persona,16.0,False,yes,90,"recent high school graduate now at university, implying first year"
95088,a freshman college student who is the first in his family to attend college,persona,18.0,False,yes,100,explicitly described as a freshman college student
97220,A freshman who just joined the Temple University Diamond Marching Band.,persona,18.0,False,yes,100,Persona is explicitly described as a freshman
100034,university freshman interested in cross-disciplinary studies,persona,18.0,False,yes,100,explicitly described as a university freshman
107607,A high school friend who attends a different university but they keep in touch regularly discussing their college experiences,persona,16.0,False,yes,100,attends a university and discusses college experiences
110666,A local credit counselor who offers advice and resources to help the college freshman navigate the world of credit,persona,18.0,False,yes,100,explicitly mentioned as a college freshman
111787,an undecided freshman at the University of Georgia,persona,18.0,False,yes,100,explicitly described as a freshman at a university
113530,a freshman at Columbia College,persona,18.0,False,yes,100,explicitly described as a freshman at a college
122056,A political science major who attributes their university debate success to their high school coach,persona,16.0,False,yes,90,"Mention of being a major implies current university enrollment, and success in university debate suggests they are likely in their early years of study."
135243,A university freshman who navigated through high school with help from the counselor and is now studying social work,persona,16.0,False,yes,100,Persona is explicitly described as a university freshman
141773,a freshman college student who just started following college baseball closely,persona,18.0,False,yes,100,explicitly described as a freshman college student
143216,"I am a freshman at Utah Tech University, enthusiastic about football, and deeply involved in school spirit.",persona,18.0,False,yes,100,Persona explicitly states they are a freshman at a university.
145283,An average college freshman who is more interested in subjects related to his chosen major and is not particularly enthusiastic about general education requirements,persona,18.0,False,yes,100,Persona is explicitly described as a college freshman
150215,a freshman student at the College of Charleston who relies heavily on Information Technology services in his learning.,persona,18.0,False,yes,100,explicitly described as a freshman student at a college
152528,A freshman track athlete at Amherst College who gets intimidated easily,persona,18.0,False,yes,100,Explicitly described as a freshman
164105,a recent high school graduate in Texas who's about to attend Texas A&M University,persona,16.0,False,yes,100,recent high school graduate about to attend university
169149,a freshman student recently accepted to the South Carolina Honors College,persona,18.0,False,yes,100,explicitly described as a freshman student
183170,a freshman majoring in linguistics at Ternopil Volodymyr Hnatiuk National Pedagogical University,persona,18.0,False,yes,100,explicitly described as a freshman
183507,"a freshman studying at the American University Washington, DC",persona,18.0,False,yes,100,explicitly described as a freshman
186034,a college freshman who loved photography and was close friends with Dylan Pietrs.,persona,18.0,False,yes,100,Persona is explicitly described as a college freshman
192914,A college athlete studying sports management and often reflects on the impact of high school academics on their career,persona,16.0,False,yes,90,currently studying sports management in college
194503,an ambitious freshman now studying at Baker University,persona,18.0,False,yes,100,explicitly described as a freshman at a university
194725,A freshman in college who is interested in studying abroad but is unsure about the application requirements and process,persona,18.0,False,yes,100,Persona is explicitly described as a freshman in college
197242,"A current college football player who graduated from Wells High School, where Timothy Roche coached me",persona,16.0,False,yes,90,current college football player implies first-year university student
