idx,regime,persona_text,subject,relation,object,num_triplets,num_unique_triplets,num_unique_subjects,num_unique_objects,num_unique_concepts,num_unique_relations,triplet_repetition_ratio,persona_num_tokens,triplets_per_100_tokens,sentiment_score,lexical_ttr,lexical_avg_word_len,graph_num_nodes,graph_num_edges,graph_avg_degree,graph_density,graph_num_components,graph_largest_component_size,graph_largest_component_ratio
0,secondary,A curious and enthusiastic group of middle school students eager to learn through gaming,knight; princess; knight; knight; young; princess; princess,marries; is_thankful_to; frees; fights_for; describes; thankful; marries,princess; knight; princess; death; knight; knight; knight,7,7,3,3,4,6,0.0,14,50.0,0.0,1.0,5.357142857142857,4,7,1.5,1.1666666666666667,1,4,1.0
0,secondary,a middle school student from Uganda,dragon; forest; princess; princess,appears; is_mysterious; married; is_thankful_to,country; knight; knight; knight,4,4,3,2,5,4,0.0,6,66.66666666666666,0.0,1.0,5.0,5,4,1.2,0.4,2,3,0.6
1,secondary,A middle school student who turns to the stream for encouragement while dealing with school stress,unfamiliar; thankful; princess; armor; country; knight; princess,describes; describes; is_thankful_to; becomes_scorched; is; is_thanked_by; marries,country; princess; knight; knight; unfamiliar; princess; knight,7,7,6,4,6,6,0.0,16,43.75,0.0,0.9375,5.1875,6,7,1.3333333333333333,0.4666666666666667,2,4,0.6666666666666666
1,secondary,a rebellious middle school student who is uninterested in learning about extinct creatures,knight; knight; princess; knight; dragon; princess,is_thankful_to; is_thanked_by; marries; kills; is_unfamiliar_with; is_thankful_to,princess; princess; knight; dragon; young knight; knight,6,6,3,4,4,5,0.0,13,46.15384615384615,0.0,1.0,6.0,4,6,1.5,1.0,1,4,1.0
2,secondary,A creative middle schooler who has started a cooking vlog using the new kitchen,princess; dragon; knight; princess; knight,is_married_to; fights_for; fights_for; is_thankful_to; marries,knight; death; death; knight; princess,5,5,3,3,4,4,0.0,14,35.714285714285715,0.0,0.9285714285714286,4.714285714285714,4,5,1.5,0.8333333333333334,1,4,1.0
2,secondary,A middle schooler who loves exploring their town's history through geocaching and local legends,princess; knight; knight; armor; young; knight; princess; princess; knight,is; is_married_to; is_responsible_for_rescuing; is; encounters; rescues; expresses_gratitude_towards; marries; is,thankful; princess; princess; warped; dragon; princess; knight; knight; young,9,9,4,6,7,7,0.0,14,64.28571428571429,0.0,1.0,5.4,7,9,1.4285714285714286,0.42857142857142855,2,5,0.7142857142857143
3,secondary,A curious middle school student who is fascinated by rocks and minerals,knight; knight; knight; princess; knight; knight,wants_to_marry; wants_to_free; hurries_after; was; married; was thanked by,princess; princess; dragon; thankful; princess; princess,6,6,2,3,4,6,0.0,12,50.0,0.0,1.0,5.0,4,6,1.5,1.0,1,4,1.0
3,secondary,A middle school student working on a school project about mystery novels,knight; princess; knight; princess; country; dragon; princess,fought; is; is_married_to; is_thankful_to; is; kidnapping; married,dragon; thankful; princess; knight; unfamiliar; princess; knight,7,7,4,5,6,6,0.0,12,58.333333333333336,0.0,0.8333333333333334,5.083333333333333,6,7,1.6666666666666667,0.4666666666666667,2,4,0.6666666666666666
4,secondary,A middle school student seeking guidance on how to improve their computer skills for school assignments,princess; princess; knight; armor,is; marries; is_at_stake; is,thankful; knight; life; scorched,4,4,3,4,6,3,0.0,16,25.0,0.0,0.9375,5.5,6,4,1.3333333333333333,0.26666666666666666,2,4,0.6666666666666666
4,secondary,A secondary school student who is just starting to learn about programming and open-source projects,knight; princess; dragon; death; dragon; knight; princess,is_married_to; is_thankful_to; fights_for; is_at_stake_in; appears_in; rescues; marries,princess; knight; life; knight_vs_dragon_battle; forest; princess; knight,7,7,4,5,7,7,0.0,15,46.666666666666664,0.0,1.0,5.25,7,7,1.1428571428571428,0.3333333333333333,3,3,0.42857142857142855
5,secondary,A curious and inquisitive middle school student eager to learn about the town's past,princess; knight; young knight; young; princess,is_thankful_to; is_responsible_for; rides_through; describes; marries,knight; princess; forest; knight; knight,5,5,4,3,5,5,0.0,14,35.714285714285715,0.0,1.0,4.666666666666667,5,5,1.2,0.5,2,3,0.6
5,secondary,A curious middle school student fascinated by the tales of King Arthur,princess; knight; knight; dragon; knight; princess; princess,lives_in; kills; frees; is_related_to; is_brave; married; is_thankful,castle; dragon; princess; life; property; knight; knight,7,7,3,6,6,7,0.0,12,58.333333333333336,0.0,1.0,4.916666666666667,6,7,1.6666666666666667,0.4666666666666667,1,6,1.0
6,secondary,A shy but imaginative middle schooler who is looking for a captivating adventure novel to read,princess; dragon; princess,married; is_in; is_thankful_to,knight; forest; knight,3,3,2,2,4,3,0.0,16,18.75,0.0,0.9375,4.9375,4,3,1.0,0.5,2,2,0.5
6,secondary,An ambitious 8th grader with a penchant for documentary filmmaking and a keen interest in local legends,knight; knight; dragon; princess; knight; knight; princess,is married to; is thanked by; appears; is thankful to; frees; is; marries,princess; princess; forest; knight; princess; ambitious; knight,7,7,3,4,5,7,0.0,17,41.17647058823529,0.0,0.9411764705882353,5.117647058823529,5,7,1.2,0.7,2,3,0.6
