sentence,spearman_r,paper_r,p_value,significance
1,1.0,0.77,0.0,significant
2,1.0,0.98,2.570273482655349e-17,significant
3,0.96,0.66,2.205198305247039e-09,significant
4,0.8,0.91,0.00011579069005564037,significant
5,0.91,0.69,5.72290712680084e-07,significant
6,0.63,0.74,0.006196156142564319,significant
7,0.75,0.68,0.0005660271401335403,significant
8,0.63,0.69,0.00691411001211934,significant
9,0.66,0.93,0.0042601874988307245,significant
10,0.72,0.76,0.001064231403474123,significant
11,0.38,0.68,0.1312751733577876,not significant
12,0.51,0.79,0.03834434047440709,significant
13,0.78,0.79,0.00023040064348651168,significant
