idx,persona_text,source_config,age,is_excluded,llm_label,llm_confidence,llm_reason
115,A young child who embraces simplicity by finding joy in the smallest things,persona,,False,yes,80,"description implies a young child, likely in primary school age range"
216,A child beta reader who provides honest and valuable feedback from a target audience perspective,persona,,False,yes,80,"child beta reader implies a young age, likely within primary school range"
373,A 10-year-old schoolboy who lives in Nigeria,persona,10.0,False,yes,100,Age 10 is typical for primary school
989,A young child who has experienced traumatic events and receives counseling from the psychologist in collaboration with the humanitarian aid worker,persona,,False,yes,80,young child implies primary school age
2070,"A young child born deaf, eager to learn to communicate with others",persona,,False,yes,80,young child implies primary school age and eagerness to learn communication skills
2124,A young child who prefers playtime over watching TV or movies,persona,,False,yes,90,"Persona describes a preference typical of a young child, likely in primary school age"
2219,a schoolchild who participated in the parade to support the Elmora Troopers,persona,,False,yes,80,"participated in a parade, likely as part of a school event, and 'schoolchild' implies a young age"
2317,A child from a remote village in a different country who loves learning about different cultures,persona,,False,yes,80,"The persona is described as a child, implying a young age likely within primary school range."
2899,An energetic pupil who is always eager to share new historical facts learned from extracurricular reading,persona,,False,yes,80,"describes a pupil, implies young age and eagerness to learn"
3043,A young child who looks forward to their visits and sees them as a source of love and wisdom,persona,,False,yes,80,young child implies primary school age
3888,A young student who dreams of becoming a firefighter and carries around a toy firetruck everywhere,persona,,False,yes,90,"carries a toy and has a childlike dream, indicating a young age"
4283,A shy and anxious elementary school student who is afraid of needles and medical procedures,persona,8.0,False,yes,100,Persona is explicitly described as an elementary school student
4975,A young niece who is just starting to develop an interest in reading and writing poetry,persona,,False,yes,80,"developing interest in reading and writing suggests a young age, likely within primary school range"
4976,A classmate who started a movement to make their school playground accessible for all children,persona,,False,yes,90,"started a movement in their school playground, implying they are a student"
5176,A young student who is inspired by the activist's message and starts a school recycling program,persona,,False,yes,90,"starts a school recycling program, implies attendance at a school level where such activities are common"
5331,A young child who constantly observes the older sibling's responsible behavior and tries to emulate it,persona,,False,yes,90,"young child trying to emulate older sibling's behavior, suggesting an age typical of primary school"
