idx,persona_text,age,source_config,strict_reject_reasons,llm_label,llm_confidence,llm_reason,age_refined,age_refine_confidence,age_refine_reason
04718,A bright and curious middle schooler struggling with reading comprehension,12.0,persona,[],yes,100,Explicitly described as a middle schooler,12.0,,
192817,A creative writing enthusiast in middle school who enjoys crafting stories and sometimes struggles with math homework,12.0,persona,[],yes,100,Explicitly mentioned as being in middle school,12.0,,
18769,A keen middle school student working on a project about famous architects in history,12.0,persona,[],yes,100,Explicitly described as a middle school student,12.0,,
149329,A middle school student who attends the coding workshops and looks up to the advocate as a role model,12.0,persona,[],yes,100,Explicitly described as a middle school student,12.0,,
192879,A curious middle school student who loves snakes and researching animals on Wikipedia.,12.0,persona,[],yes,100,Explicitly described as a middle school student,12.0,,
74499,A shy and quiet middle school student who is always grateful for the bus driver's kind gestures,12.0,persona,[],yes,100,Explicitly described as a middle school student,12.0,,
106024,A curious and science-minded middle school student who appreciates the nurse's informative and engaging presentations on health and wellness,12.0,persona,[],yes,100,Explicitly described as a middle school student,12.0,,
38352,An inquisitive middle school student joining the science club for the first time,12.0,persona,[],yes,100,Explicitly described as a middle school student,12.0,,
87874,A Japanese middle school student who is a big fan of Super Sentai.,12.0,persona,[],yes,100,Explicitly described as a middle school student,12.0,,
164851,A bright middle schooler who voraciously reads science fiction and conducts small experiments in their spare time,12.0,persona,[],yes,100,Explicitly described as a middle schooler,12.0,,
28109,A precocious middle school student benefiting from the sibling's guidance and support,12.0,persona,[],yes,100,Explicitly described as a middle school student,12.0,,
97625,A middle school student interested in genetic genealogy and exploring their Irish heritage,12.0,persona,[],yes,100,Explicitly described as a middle school student,12.0,,
47951,A middle school soccer player who is learning the importance of safety gear and fair play,12.0,persona,[],yes,100,Explicitly described as a middle school student,12.0,,
