persona_id,idx,source_config,persona_text,llm_label,llm_confidence,llm_reason,shard_id,age_heuristic,age
persona::153,153,persona,A curious high school student from Beijing who likes to play detective games and prides herself on her careful observation and logical reasoning. She is very interested in international politics and diplomacy and has a nuanced understanding of geopolitical issues from watching and reading the news.,yes,100,Persona is explicitly described as a high school student,0,16,16
persona::1835,1835,persona,A high school senior passionate about social work and considering a career in nursing,yes,100,Persona is described as a high school senior,0,16,16
persona::5481,5481,persona,a high school student who is not interested in cross country,yes,100,explicitly described as a high school student,0,16,16
persona::9519,9519,persona,A Nigerian high school student interested in debating and aspiring to represent Nigeria at an international level.,yes,100,Persona explicitly describes themselves as a high school student,0,16,16
persona::12528,12528,persona,A high school friend of Jim who has little interest in politics.,yes,90,described as a high school friend,0,16,16
persona::14673,14673,persona,A high school student highly skilled in strategic thinking and excels in team-based multiplayer games,yes,100,Persona explicitly describes themselves as a high school student,0,16,16
persona::16181,16181,persona,A teenager who uses music as an escape from the stress of high school,yes,100,explicitly mentions stress of high school,0,16,16
persona::17665,17665,persona,A fellow science fair participant with a keen interest in marine life and a rivalry with the high school junior,yes,90,participating in a science fair and having a rivalry with a high school junior implies the persona is likely a high school student,0,16,16
persona::18511,18511,persona,A high school student eager to explore different subjects and learn from the persona's podcast recommendations,yes,100,Persona explicitly describes themselves as a high school student,0,16,16
persona::23880,23880,persona,an American high school student who is an avid film buff and who has a parent with an intellectual disability,yes,100,Persona is explicitly described as an American high school student,0,16,16
persona::25380,25380,persona,A high school student interested in joining the firefighting profession,yes,100,Persona explicitly describes themselves as a high school student,0,16,16
persona::35079,35079,persona,A camera operator always looking for the perfect shot during high school matches,yes,90,high school matches implies the persona is likely a student participating in or closely associated with a high school,0,16,16
persona::36604,36604,persona,A British high school student studying for a history project.,yes,100,Explicitly described as a high school student,0,16,16
persona::43370,43370,persona,A star high school athlete who thrives in team sports and finds esports to be less challenging,yes,100,Described as a high school athlete,0,16,16
persona::46593,46593,persona,"A high school student passionate about social justice, looking to learn and engage with the exhibit",yes,100,Explicitly described as a high school student,0,16,16
persona::47704,47704,persona,A high school student who is fascinated by information management and dictatorship while working on school projects,yes,100,Persona explicitly describes themselves as a high school student,0,16,16
persona::51274,51274,persona,A high school student who is passionate about starting an after-school coding club and seeks guidance and support from the city council representative,yes,100,Persona explicitly describes themselves as a high school student,0,16,16
persona::52858,52858,persona,A high school student researching influential engineers for a class project,yes,100,Explicitly described as a high school student,0,16,16
persona::58394,58394,persona,"A high school student with a passion for STEM subjects, relying on the librarian's expertise for guidance on technical books",yes,100,Explicitly described as a high school student,0,16,16
persona::59401,59401,persona,"A high school student who is fascinated by both math and technology, eagerly participating in the interactive lessons",yes,100,Persona explicitly describes themselves as a high school student,0,16,16
persona::60945,60945,persona,A high school student who is curious about military life and seeks to learn about their experiences in the army,yes,100,Persona explicitly describes themselves as a high school student,0,16,16
persona::64298,64298,persona,an art enthusiast who attends this senior high school,yes,100,attends senior high school,0,16,16
persona::65456,65456,persona,A high school student fascinated by Japanese history and looks up to the blogger as a mentor figure,yes,100,Persona explicitly describes themselves as a high school student,0,16,16
persona::66801,66801,persona,"A high school student fascinated by robotics, seeking guidance on building automated solar panels",yes,100,Persona explicitly describes themselves as a high school student,0,16,16
persona::73698,73698,persona,A local high school student passionate about media production and analysis,yes,100,Persona is explicitly described as a high school student,0,16,16
persona::79977,79977,persona,A high school student who has a knack for making analogies and metaphors.,yes,100,Persona explicitly describes themselves as a high school student,0,16,16
persona::81827,81827,persona,A high school student with a deep knowledge of indie games and a passion for the cyberpunk genre,yes,100,Persona explicitly describes themselves as a high school student,0,16,16
persona::89539,89539,persona,"I am a curious high school student with a keen interest in computational models, theories of cognition, and machine learning, though my expertise is not yet at the level of professionals in the field.",yes,100,Persona explicitly describes themselves as a high school student,0,16,16
persona::97293,97293,persona,A high school student researching the cultural impact of the 1960s and 1970s for a history project,yes,100,Persona is explicitly described as a high school student,0,16,16
persona::99085,99085,persona,an ambitious high school girl who aspires to become a successful woman like Cathy Justice,yes,100,explicitly described as a high school girl,0,16,16
persona::100154,100154,persona,a high school friend who didn't know her sexual orientation,yes,90,explicitly mentioned as a high school friend,0,16,16
persona::104640,104640,persona,a high school student currently studying Frederick Douglass's autobiography,yes,100,explicitly described as a high school student,0,16,16
persona::106371,106371,persona,A high school literature enthusiast who helps with the presentation aspect of the robotics project and maintains the team's morale,yes,100,Persona is described as a high school literature enthusiast,0,16,16
persona::108025,108025,persona,A high school sophomore struggling to find effective study methods,yes,100,Persona explicitly describes themselves as a high school student,0,16,16
persona::110472,110472,persona,"A high school student who embraces pop culture and modern movies, preferring to spend time on TikTok rather than watching classic cinema",yes,100,Persona explicitly describes themselves as a high school student,0,16,16
persona::112092,112092,persona,A high school student who relies on the radio host's recommendations to stay up-to-date with the latest music trends,yes,100,Persona is explicitly described as a high school student,0,16,16
persona::117655,117655,persona,A high school student who finds the animated videos helpful in understanding economic concepts for their exams,yes,100,Persona explicitly describes themselves as a high school student,0,16,16
persona::122542,122542,persona,"A high schooler who is part of her school's debate club and is currently preparing for a debate on ""Local Sustainability vs Global Food Trade"".",yes,100,Persona explicitly describes themselves as a high schooler,0,16,16
persona::125068,125068,persona,A high school student who frequently visits the library to fuel their interest in engineering,yes,100,Persona explicitly describes themselves as a high school student,0,16,16
persona::128504,128504,persona,A motivated high school junior who shares the teacher's passion for education,yes,100,Persona is explicitly described as a high school junior,0,16,16
persona::130136,130136,persona,A driven high school senior determined to expose the truth about corruption,yes,100,Persona is explicitly described as a high school senior,0,16,16
persona::132826,132826,persona,A group of high school students organizing a fundraising event to support disaster relief efforts,yes,100,Explicitly described as high school students,0,16,16
persona::136597,136597,persona,"A high school student with dreams of becoming a marine archaeologist, inspired by Robert Kurson's 'Shadow Divers'",yes,100,Persona explicitly describes themselves as a high school student,0,16,16
persona::139444,139444,persona,A high school student who is fascinated by the physics behind extreme sports,yes,100,Persona explicitly describes themselves as a high school student,0,16,16
persona::141823,141823,persona,"A high school student passionate about theatre, often uses grandparent's documents as inspiration for plays",yes,100,Persona explicitly describes themselves as a high school student,0,16,16
persona::144424,144424,persona,a high school classmate and casual friend of Fei Ernanduo,yes,100,explicitly described as a high school classmate,0,16,16
persona::146242,146242,persona,A high school student who is following in her mother's footsteps and participating actively in writing competitions,yes,100,Persona is explicitly described as a high school student,0,16,16
persona::152258,152258,persona,A driven teenage gymnast aiming for the Olympics and navigating the challenges of high school,yes,100,explicitly mentions navigating high school,0,16,16
persona::153933,153933,persona,a freshman high school student who participated in GEMS,yes,100,explicitly described as a freshman high school student,0,16,16
persona::154894,154894,persona,A health-conscious high school athlete who often helps their parent distribute the donated bread,yes,100,Persona is explicitly described as a high school athlete,0,16,16
persona::160695,160695,persona,A high school student: a big fan of RWBY and aspiring to be a composer,yes,100,Persona explicitly describes themselves as a high school student,0,16,16
persona::167097,167097,persona,A group of fellow high school students who share the same enthusiasm for robotics and compete together in robotics competitions,yes,100,Explicitly described as high school students,0,16,16
persona::168483,168483,persona,"A high school student studying hard for math exams, aiming to follow the family tradition into accounting",yes,100,Persona explicitly describes themselves as a high school student,0,16,16
persona::170842,170842,persona,A high school student who is determined to be the school valedictorian.,yes,100,Persona explicitly describes themselves as a high school student,0,16,16
persona::172011,172011,persona,A high school English language learner fascinated by the intricacies of English grammar,yes,100,Persona explicitly describes themselves as a high school student,0,16,16
