idx,persona_text,age,source_config,is_excluded,llm_label,llm_confidence,llm_reason
153,A curious high school student from Beijing who likes to play detective games and prides herself on her careful observation and logical reasoning. She is very interested in international politics and diplomacy and has a nuanced understanding of geopolitical issues from watching and reading the news.,16,persona,False,yes,100,Persona is explicitly described as a high school student
447,A politically engaged high school student in Ireland,16,persona,False,yes,100,explicitly described as a high school student
742,"A high school student volunteering at a local homeless shelter, inspired by their sibling's acts of kindness",16,persona,False,yes,100,Explicitly described as a high school student
790,A high school student aiming to follow in their grandparent's footsteps by studying library science,16,persona,False,yes,100,Persona is explicitly described as a high school student
1315,A high school senior who dreams of becoming a skilled welder and seeks guidance on training options,16,persona,False,yes,100,Persona is explicitly described as a high school senior
1365,a high school student from El Cerrito High School,16,persona,False,yes,100,explicitly described as a high school student
1460,a high school student who dreams of studying law and is searching for successful and outstanding lawyers to inspire and guide his career path,16,persona,False,yes,100,Persona explicitly describes themselves as a high school student
1472,A high school student determined to follow in their sibling's footsteps and get into Harvard,16,persona,False,yes,100,Explicitly described as a high school student
1522,A high school basketball player looking to learn the secrets of the game from their wise grandfather,16,persona,False,yes,100,Persona is explicitly described as a high school basketball player
1524,a 17-year-old high school student doing a paper for a history class,17,persona,False,yes,100,explicitly described as a high school student
1835,A high school senior passionate about social work and considering a career in nursing,16,persona,False,yes,100,Persona is described as a high school senior
2090,A high school student who excels in social studies and is preparing for a career in civil service,16,persona,False,yes,100,Persona explicitly describes themselves as a high school student
2397,A high school soccer star with little interest in football but a lot of love for their parent's team spirit,16,persona,False,yes,100,Persona is explicitly described as a high school soccer star
2631,A curious high school student from Kyrgyzstan interested in linguistics and the history of Turkic languages,16,persona,False,yes,100,Persona explicitly describes themselves as a high school student
2801,"a high school student in Kosrae, Federated States of Micronesia",16,persona,False,yes,100,explicitly described as a high school student
3190,A high school athlete who gains a deeper appreciation for biology by applying it to their favorite sport,16,persona,False,yes,100,Persona is explicitly described as a high school athlete
3314,A high school student interested in marketing and participating in the alumna's mentorship program,16,persona,False,yes,100,Persona explicitly describes themselves as a high school student
3390,A high school student who shares a passion for classic Americana and runs a locally popular rockabilly band,16,persona,False,yes,100,Persona is explicitly described as a high school student
4066,A high school student who is an eSports competitor and considers retro games antiquated,16,persona,False,yes,100,Persona explicitly describes themselves as a high school student
5151,The reigning sprint champion in a neighboring high school looking to defend his title,16,persona,False,yes,100,Persona is described as being in a high school
5481,a high school student who is not interested in cross country,16,persona,False,yes,100,explicitly described as a high school student
5753,a Vietnamese high school student who idolizes Sơn Tùng M-TP,16,persona,False,yes,100,explicitly described as a high school student
