original_index,age_refined,persona_text,model_name,subject,relation,object,regime
0,16,A curious high school student from Beijing who likes to play detective games and prides herself on her careful observation and logical reasoning. She is very interested in international politics and diplomacy and has a nuanced understanding of geopolitical issues from watching and reading the news.,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,triumphant,victory,high_school
0,16,A curious high school student from Beijing who likes to play detective games and prides herself on her careful observation and logical reasoning. She is very interested in international politics and diplomacy and has a nuanced understanding of geopolitical issues from watching and reading the news.,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,is_freed_by,knight,high_school
0,16,A curious high school student from Beijing who likes to play detective games and prides herself on her careful observation and logical reasoning. She is very interested in international politics and diplomacy and has a nuanced understanding of geopolitical issues from watching and reading the news.,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,is_thankful_to,knight,high_school
0,16,A curious high school student from Beijing who likes to play detective games and prides herself on her careful observation and logical reasoning. She is very interested in international politics and diplomacy and has a nuanced understanding of geopolitical issues from watching and reading the news.,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,marries,knight,high_school
1,16,A high school senior passionate about social work and considering a career in nursing,Qwen/Qwen3-30B-A3B-Instruct-2507,young knight,rides through,forest,high_school
1,16,A high school senior passionate about social work and considering a career in nursing,Qwen/Qwen3-30B-A3B-Instruct-2507,armor,suffers_damage_from,dragon,high_school
1,16,A high school senior passionate about social work and considering a career in nursing,Qwen/Qwen3-30B-A3B-Instruct-2507,dragon,fights_for,life,high_school
1,16,A high school senior passionate about social work and considering a career in nursing,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,is_thankful_to,knight,high_school
1,16,A high school senior passionate about social work and considering a career in nursing,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,is_thanked_by,princess,high_school
1,16,A high school senior passionate about social work and considering a career in nursing,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,married,knight,high_school
0,16,A curious high school student from Beijing who likes to play detective games and prides herself on her careful observation and logical reasoning. She is very interested in international politics and diplomacy and has a nuanced understanding of geopolitical issues from watching and reading the news.,Qwen/Qwen3-30B-A3B-Instruct-2507,armor_scorching,describes,armor,high_school
0,16,A curious high school student from Beijing who likes to play detective games and prides herself on her careful observation and logical reasoning. She is very interested in international politics and diplomacy and has a nuanced understanding of geopolitical issues from watching and reading the news.,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,marries,knight,high_school
0,16,A curious high school student from Beijing who likes to play detective games and prides herself on her careful observation and logical reasoning. She is very interested in international politics and diplomacy and has a nuanced understanding of geopolitical issues from watching and reading the news.,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,kills,dragon,high_school
0,16,A curious high school student from Beijing who likes to play detective games and prides herself on her careful observation and logical reasoning. She is very interested in international politics and diplomacy and has a nuanced understanding of geopolitical issues from watching and reading the news.,Qwen/Qwen3-30B-A3B-Instruct-2507,armor,is_scorned,knight,high_school
0,16,A curious high school student from Beijing who likes to play detective games and prides herself on her careful observation and logical reasoning. She is very interested in international politics and diplomacy and has a nuanced understanding of geopolitical issues from watching and reading the news.,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,is,thankful,high_school
1,16,A high school senior passionate about social work and considering a career in nursing,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,married,knight,high_school
1,16,A high school senior passionate about social work and considering a career in nursing,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,was_thanked_by,princess,high_school
1,16,A high school senior passionate about social work and considering a career in nursing,Qwen/Qwen3-30B-A3B-Instruct-2507,young knight,is,adventurous,high_school
1,16,A high school senior passionate about social work and considering a career in nursing,Qwen/Qwen3-30B-A3B-Instruct-2507,dragon,kidnapping,princess,high_school
1,16,A high school senior passionate about social work and considering a career in nursing,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,wants_to_marry,princess,high_school
1,16,A high school senior passionate about social work and considering a career in nursing,Qwen/Qwen3-30B-A3B-Instruct-2507,young knight,rides through,forest,high_school
1,16,A high school senior passionate about social work and considering a career in nursing,Qwen/Qwen3-30B-A3B-Instruct-2507,armor,is_scornched_by,dragon,high_school
1,16,A high school senior passionate about social work and considering a career in nursing,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,was_thankful_to,knight,high_school
1,16,A high school senior passionate about social work and considering a career in nursing,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,felt_gratitude_toward,knight,high_school
1,16,A high school senior passionate about social work and considering a career in nursing,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,gained_freedom,knight,high_school
0,16,A curious high school student from Beijing who likes to play detective games and prides herself on her careful observation and logical reasoning. She is very interested in international politics and diplomacy and has a nuanced understanding of geopolitical issues from watching and reading the news.,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,married,knight,high_school
0,16,A curious high school student from Beijing who likes to play detective games and prides herself on her careful observation and logical reasoning. She is very interested in international politics and diplomacy and has a nuanced understanding of geopolitical issues from watching and reading the news.,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,is,thankful,high_school
0,16,A curious high school student from Beijing who likes to play detective games and prides herself on her careful observation and logical reasoning. She is very interested in international politics and diplomacy and has a nuanced understanding of geopolitical issues from watching and reading the news.,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,is thankful to,knight,high_school
0,16,A curious high school student from Beijing who likes to play detective games and prides herself on her careful observation and logical reasoning. She is very interested in international politics and diplomacy and has a nuanced understanding of geopolitical issues from watching and reading the news.,Qwen/Qwen3-30B-A3B-Instruct-2507,country,describes,unfamiliar,high_school
0,16,A curious high school student from Beijing who likes to play detective games and prides herself on her careful observation and logical reasoning. She is very interested in international politics and diplomacy and has a nuanced understanding of geopolitical issues from watching and reading the news.,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,is,thankful,high_school
1,16,A high school senior passionate about social work and considering a career in nursing,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,married,knight,high_school
1,16,A high school senior passionate about social work and considering a career in nursing,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,is_responsible_for,princess,high_school
