idx,persona_text,source_config,age,is_excluded,llm_label,llm_confidence,llm_reason,edu_group
134253,A high school student who has experienced improved concentration and focus in class due to regular exercise,persona,16.0,False,yes,100,Persona explicitly describes themselves as a high school student,highschool
99278,A high school student with a learning disability who looks up to their special education teacher as a role model,persona,16.0,False,yes,100,Persona explicitly describes themselves as a high school student,highschool
185651,a high school student who is fascinated with how the world of online gaming and real world shopping can intersect.,persona,16.0,False,yes,100,Persona explicitly describes themselves as a high school student,highschool
18211,A high school student who finds science classes boring but gets excited about learning through comedy,persona,16.0,False,yes,100,Persona explicitly describes themselves as a high school student,highschool
110531,A high school student who finds inspiration in the blogger's mathematical explanations and aspires to pursue a career in mathematics,persona,16.0,False,yes,100,Persona explicitly describes themselves as a high school student,highschool
64347,A high school senior in Pennsylvania with an aspiration to become a materials scientist.,persona,16.0,False,yes,100,Persona is explicitly described as a high school senior,highschool
174778,A high school student who dreams of becoming a hematologist and seeks guidance and advice,persona,16.0,False,yes,100,Persona explicitly describes themselves as a high school student,highschool
141832,A high school student who learns about AAVE from their elder and incorporates it into their poetry,persona,16.0,False,yes,100,Persona is explicitly described as a high school student,highschool
41653,A high school student who is the president of the school's anti-drug coalition,persona,16.0,False,yes,100,Persona is explicitly described as a high school student,highschool
71532,A high school student interested in machine learning and looking for tips to get started with neural networks,persona,16.0,False,yes,100,Persona explicitly describes themselves as a high school student,highschool
119251,A high school student interested in photography who helps take pictures of the dishes for the blog,persona,16.0,False,yes,100,Persona is explicitly described as a high school student,highschool
168199,A high school female athlete who played in the Iowa Girl's State Championship.,persona,16.0,False,yes,100,Persona is described as a high school athlete.,highschool
178162,A high school senior who has benefited from the individualized education plans and is now considering a career in education,persona,16.0,False,yes,100,Persona is explicitly described as a high school senior,highschool
126629,A high school student in Hungary trying to choose a sports career path,persona,16.0,False,yes,100,Persona is explicitly described as a high school student,highschool
35079,A camera operator always looking for the perfect shot during high school matches,persona,16.0,False,yes,90,high school matches implies the persona is likely a student participating in or closely associated with a high school,highschool
195254,A high school student curious about the history of their own school,persona,16.0,False,yes,100,Persona explicitly describes themselves as a high school student,highschool
158187,"A high school student in China preparing for the National Higher Education Entrance Examination (a.k.a., the Gaokao)",persona,16.0,False,yes,100,Explicitly described as a high school student,highschool
27287,A high school student interested in pursuing women's studies and seeks guidance on how to navigate the field,persona,16.0,False,yes,100,Persona explicitly describes themselves as a high school student,highschool
30221,"A high school student on the baseball team, who is keen on learning the sport's history and tactics",persona,16.0,False,yes,100,Persona explicitly describes themselves as a high school student,highschool
190593,A high school student seeking guidance in the subjects the student excels in to improve their grades,persona,16.0,False,yes,100,Persona explicitly describes themselves as a high school student,highschool
57298,A high school robotics club member who relies on the electrical engineer's guidance to construct complex circuits for their robot.,persona,16.0,False,yes,100,Persona is a high school robotics club member,highschool
