original_index,age_refined,persona_text,model_name,subject,relation,object,regime
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,Qwen/Qwen3-30B-A3B-Instruct-2507,dragon,is,unfamiliar,primary
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,describes,unfamiliar,primary
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,is,beautiful,primary
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,is thanked by,princess,primary
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,is thankful to,knight,primary
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,marries,knight,primary
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,is married to,princess,primary
1,8,A group of enthusiastic elementary school students who regularly visit the website for engaging educational content,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,wears,armor,primary
1,8,A group of enthusiastic elementary school students who regularly visit the website for engaging educational content,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,fights_with,dragon,primary
1,8,A group of enthusiastic elementary school students who regularly visit the website for engaging educational content,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,is,thankful,primary
1,8,A group of enthusiastic elementary school students who regularly visit the website for engaging educational content,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,marries,knight,primary
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,marries,knight,primary
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,Qwen/Qwen3-30B-A3B-Instruct-2507,battle,involves,armor,primary
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,is_thankful_to,knight,primary
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,Qwen/Qwen3-30B-A3B-Instruct-2507,dragon,fights_for,death,primary
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,thanked,knight,primary
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,fought_for,death,primary
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,rides_on,bus,primary
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,is,thankful,primary
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,has,armor,primary
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,is,thankful,primary
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,married,knight,primary
1,8,A group of enthusiastic elementary school students who regularly visit the website for engaging educational content,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,married,knight,primary
1,8,A group of enthusiastic elementary school students who regularly visit the website for engaging educational content,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,is_unfamiliar_with,country,primary
1,8,A group of enthusiastic elementary school students who regularly visit the website for engaging educational content,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,is_thankful_to,knight,primary
1,8,A group of enthusiastic elementary school students who regularly visit the website for engaging educational content,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,is_thanked_by,princess,primary
1,8,A group of enthusiastic elementary school students who regularly visit the website for engaging educational content,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,is,young,primary
1,8,A group of enthusiastic elementary school students who regularly visit the website for engaging educational content,Qwen/Qwen3-30B-A3B-Instruct-2507,fire,causes,scorching,primary
1,8,A group of enthusiastic elementary school students who regularly visit the website for engaging educational content,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,is thankful to,knight,primary
1,8,A group of enthusiastic elementary school students who regularly visit the website for engaging educational content,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,wears,armor,primary
1,8,A group of enthusiastic elementary school students who regularly visit the website for engaging educational content,Qwen/Qwen3-30B-A3B-Instruct-2507,dragon,appears,unnamed_event,primary
1,8,A group of enthusiastic elementary school students who regularly visit the website for engaging educational content,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,wants_to_free,princess,primary
1,8,A group of enthusiastic elementary school students who regularly visit the website for engaging educational content,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,is,thankful,primary
1,8,A group of enthusiastic elementary school students who regularly visit the website for engaging educational content,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,married,knight,primary
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,married,knight,primary
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,is,beautiful,primary
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,Qwen/Qwen3-30B-A3B-Instruct-2507,life,is_opposite_of,death,primary
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,is unfamiliar with,country,primary
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,is,thankful,primary
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,rescues,princess,primary
1,8,A group of enthusiastic elementary school students who regularly visit the website for engaging educational content,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,is_thankful_towards,knight,primary
1,8,A group of enthusiastic elementary school students who regularly visit the website for engaging educational content,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,is_thanked_by,princess,primary
1,8,A group of enthusiastic elementary school students who regularly visit the website for engaging educational content,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,is_married_to,princess,primary
1,8,A group of enthusiastic elementary school students who regularly visit the website for engaging educational content,Qwen/Qwen3-30B-A3B-Instruct-2507,dragon,kidnapping,princess,primary
1,8,A group of enthusiastic elementary school students who regularly visit the website for engaging educational content,Qwen/Qwen3-30B-A3B-Instruct-2507,death,is_at_stake_in,knight,primary
1,8,A group of enthusiastic elementary school students who regularly visit the website for engaging educational content,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,has_armor,armor,primary
1,8,A group of enthusiastic elementary school students who regularly visit the website for engaging educational content,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,marries,knight,primary
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,is_thankful_to,knight,primary
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,is_rescued,princess,primary
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,Qwen/Qwen3-30B-A3B-Instruct-2507,life,is_opposite_of,death,primary
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,wears,armor,primary
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,Qwen/Qwen3-30B-A3B-Instruct-2507,armor,is_destroyed_by,fire,primary
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,thanks,knight,primary
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,marries,knight,primary
1,8,A group of enthusiastic elementary school students who regularly visit the website for engaging educational content,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,is_thankful_to,knight,primary
1,8,A group of enthusiastic elementary school students who regularly visit the website for engaging educational content,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,rescues,princess,primary
1,8,A group of enthusiastic elementary school students who regularly visit the website for engaging educational content,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,killed,dragon,primary
1,8,A group of enthusiastic elementary school students who regularly visit the website for engaging educational content,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,fought_for,death,primary
1,8,A group of enthusiastic elementary school students who regularly visit the website for engaging educational content,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,married,knight,primary
1,8,A group of enthusiastic elementary school students who regularly visit the website for engaging educational content,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,thankful,knight,primary
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,is,thankful,primary
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,experiences,damage_to_armor,primary
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,marries,knight,primary
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,wears,armor,primary
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,fights_for,death,primary
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,is_thanked_by,princess,primary
