idx,persona_text,source_config,age,is_excluded,llm_label,llm_confidence,llm_reason,edu_group
135705,A young child who is mesmerized by the stories and dreams of one day becoming a submarine pilot themselves,persona,5.0,False,yes,90,"The persona is described as a young child with dreams, implying an age consistent with primary school.",primary
39935,A young child who is fascinated by birds and butterflies and eagerly helps in creating the backyard haven,persona,5.0,False,yes,90,young child and backyard activities suggest primary school age,primary
61632,"Another young child of Chinese heritage living in China, who can help the child practice their Mandarin skills and learn more about Chinese culture",persona,5.0,False,yes,90,young child,primary
122514,A young child who listens intently to the veteran's stories and draws pictures based on the stories,persona,5.0,False,yes,90,"The persona is described as a young child, implying an age consistent with primary school attendance.",primary
155466,"A young, curious child fascinated by marine life and eager to learn about coral reefs",persona,5.0,False,yes,90,"young and curious child, no indication of higher education level",primary
156331,"A curious young student fascinated by herpetology, the study of reptiles and amphibians, who just learned about Platyceps atayevi in class.",persona,7.0,False,yes,90,"The persona is described as a student who just learned about a topic in class, suggesting a current enrollment in school, and the context implies an age and educational level consistent with primary school.",primary
139249,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,persona,5.0,False,yes,90,engages in activities typical for a primary school child,primary
42808,"A child who eagerly flips through the pages, captivated by the colorful illustrations and imaginative storytelling",persona,5.0,False,yes,90,"behavior typical of a young child, such as flipping through pages and being captivated by illustrations, suggests a primary school student",primary
173431,A young child with Type 1 diabetes who receives ongoing care from the pediatric endocrinologist and relies on their expertise to manage their condition,persona,5.0,False,yes,90,young child and pediatric care imply primary school age,primary
188138,A curious primary school student from France.,persona,8.0,False,yes,100,Persona is explicitly described as a primary school student,primary
179253,A 10-year-old child who actively participates in school debates and is learning the importance of peaceful conflict resolution,persona,10.0,False,yes,100,"The persona is a 10-year-old child, which is within the primary school age range.",primary
39574,A young child who loves solving math problems and looks up to the accountant as a math role model,persona,5.0,False,yes,90,"The persona is described as a young child, implying an age consistent with primary school, and looks up to an accountant as a role model, suggesting an early stage of education.",primary
197774,A young child who eagerly awaits the toy reviewer's latest video to discover new toys to add to their collection,persona,5.0,False,yes,90,young child awaiting toy reviewer's video,primary
