original_index,age_refined,persona_text,model_name,subject,relation,object,regime
0,18,A college freshman interested in studying automobile engineering,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,wears,armor,university
0,18,A college freshman interested in studying automobile engineering,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,frees,princess,university
0,18,A college freshman interested in studying automobile engineering,Qwen/Qwen3-30B-A3B-Instruct-2507,dragon,appeared,forest,university
0,18,A college freshman interested in studying automobile engineering,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,is,thankful,university
0,18,A college freshman interested in studying automobile engineering,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,is,thankful,university
0,18,A college freshman interested in studying automobile engineering,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,married,knight,university
1,18,"A freshman student who is excited about joining an ""Ultimate Frisbee"" club at the University.",Qwen/Qwen3-30B-A3B-Instruct-2507,armor,is_scorched_by,dragon,university
1,18,"A freshman student who is excited about joining an ""Ultimate Frisbee"" club at the University.",Qwen/Qwen3-30B-A3B-Instruct-2507,dragon,fights_with,knight,university
1,18,"A freshman student who is excited about joining an ""Ultimate Frisbee"" club at the University.",Qwen/Qwen3-30B-A3B-Instruct-2507,princess,is_thankful_to,knight,university
1,18,"A freshman student who is excited about joining an ""Ultimate Frisbee"" club at the University.",Qwen/Qwen3-30B-A3B-Instruct-2507,princess,marries,knight,university
0,18,A college freshman interested in studying automobile engineering,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,is_thankful_for,princess,university
0,18,A college freshman interested in studying automobile engineering,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,is_thankful_to,knight,university
0,18,A college freshman interested in studying automobile engineering,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,fought_for,death,university
0,18,A college freshman interested in studying automobile engineering,Qwen/Qwen3-30B-A3B-Instruct-2507,dragon,fought_for,death,university
0,18,A college freshman interested in studying automobile engineering,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,married,knight,university
0,18,A college freshman interested in studying automobile engineering,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,married,knight,university
0,18,A college freshman interested in studying automobile engineering,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,is_thankful_to,knight,university
0,18,A college freshman interested in studying automobile engineering,Qwen/Qwen3-30B-A3B-Instruct-2507,dragon,is_described_as,beautiful,university
0,18,A college freshman interested in studying automobile engineering,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,is_thankful_to,princess,university
1,18,"A freshman student who is excited about joining an ""Ultimate Frisbee"" club at the University.",Qwen/Qwen3-30B-A3B-Instruct-2507,princess,married,knight,university
